"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,400300000.0,84200000.0,18231500.0,1037600000.0,4721164000.0,,142031300.0,114187990.0,4100000.0
entity00112819_udf_CF_2018111404042223_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 현금의 증감,Payment for consolidated capital transactions,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 현금의 증감,2961849191.0,,,,,,,,
ifrs_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,20136142763.0,13174376790.0,8974526771.0,11408683517.0,-18579562326.0,3679562326.0,-1100197994.0,-17401465090.0,-149943458.0
dart_ProceedsFromConvertibleBonds,전환사채의 발행,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 발행,17410000000.0,5000000000.0,9000000000.0,10940000000.0,7500000000.0,,,,
dart_RepaymentsOfBonds,전환사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 상환,2300000000.0,200000000.0,,,,,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,-1253317388.0,,,-4100000000.0,-25971648066.0,-19089006498.0,-22707671504.0,-72016077651.0,
entity00112819_udf_CF_2018813193925572_CashFlowsFromUsedInFinancingActivities,유상증자,a capital increase,현금흐름표 [abstract],재무활동현금흐름,유상증자,4070688955.0,8621474000.0,,,,,,,12513803120.0
dart_PaymentForStockIssueCost,주식발행비,Payment for stock issue cost,현금흐름표 [abstract],재무활동현금흐름,주식발행비,297863580.0,250097210.0,25473229.0,,,,,,
entity00112819_udf_CF_20183280330321_CashFlowsFromUsedInFinancingActivities,비지배분의 순증감,Cash and Cash Equivalents,현금흐름표 [abstract],재무활동현금흐름,비지배분의 순증감,,3000000.0,,,,,,,
ifrs_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,현금및현금성자산의 순증감,Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],현금및현금성자산의 순증감,,-4512321366.0,366833963.0,4013005054.0,260601526.0,-2256880270.0,3178054683.0,-3947965949.0,7259442454.0,85632204.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,8958904673.0,8592101464.0,4579113114.0,4318558379.0,6575429945.0,3397368189.0,7345368156.0,86375421.0,
ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,-5632.0,-30754.0,-16704.0,-46791.0,8704.0,7073.0,-34018.0,-449719.0,743217.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,4446577675.0,8958904673.0,8592101464.0,4579113114.0,4318558379.0,6575429945.0,3397368189.0,7345368156.0,86375421.0
