date,유동자산,현금및현금성자산,단기금융자산,매출채권,유동리스채권,기타금융자산,기타유동자산,재고자산,비유동자산,당기손익-공정가치측정금융자산,비유동리스채권,기타비유동금융자산,관계기업투자자산,유형자산,무형자산,투자부동산,사용권자산,매도가능금융자산,이연법인세자산,자산총계,유동부채,매입채무,기타금융부채,유동리스부채,유동계약부채,기타유동부채,당기법인세부채,단기차입금,유동성장기차입금,유동성전환사채,비유동부채,기타비유동금융부채,비유동리스부채,비유동충당부채,기타비유동부채,순확정급여부채,장기차입금,전환사채,당기손익-공정가치측정금융부채,부채총계,지배기업 소유주지분,자본금,자본잉여금,기타자본,기타포괄손익누계액,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,90602242426.0,41750906466.0,6004110904.0,26474286557.0,48393699.0,1659593289.0,964807518.0,13700143993.0,73326016979.0,2721332715.0,122508105.0,2016490116.0,639566863.0,60858339013.0,1511481105.0,180367856.0,3153426435.0,0.0,2122504771.0,163928259405.0,45463224499.0,3300151433.0,4644573632.0,570514179.0,601641800.0,251981715.0,2322031574.0,8830000000.0,18006440000.0,6935890166.0,28031923495.0,46800000.0,569666887.0,122053046.0,81900000.0,5209854695.0,7630000000.0,7104248867.0,7267400000.0,73495147994.0,77329088082.0,3702600000.0,21859605218.0,-1421070438.0,58075438.0,53129877864.0,13104023329.0,90433111411.0,163928259405.0,와이엠티
20181231,61079590564.0,27605310265.0,921045440.0,20663879072.0,0.0,3819149877.0,405933705.0,7664272205.0,65998371373.0,1883342858.0,0.0,2567484525.0,625201118.0,56048055589.0,2859705491.0,105733966.0,0.0,0.0,1908847826.0,127077961937.0,25975523314.0,3783393507.0,3220289395.0,0.0,98300000.0,220135222.0,1002465190.0,8330000000.0,9320940000.0,0.0,26691842719.0,56800000.0,0.0,0.0,77780000.0,4328682851.0,15336440000.0,6892139868.0,0.0,52667366033.0,63807353692.0,3702600000.0,21947603480.0,-1942121817.0,-245155987.0,40344428016.0,10603242212.0,74410595904.0,127077961937.0,와이엠티
20171231,57098116399.0,22422478295.0,464681991.0,22805135387.0,0.0,2098937746.0,1010234331.0,8296648649.0,56873354158.0,1444098596.0,0.0,2132261586.0,0.0,46533275435.0,3427988781.0,1496672746.0,0.0,22599208.0,1816457806.0,113971470557.0,24209113272.0,3762571210.0,3982025548.0,0.0,0.0,160882443.0,1795194071.0,8962000000.0,5546440000.0,0.0,23263296523.0,38800000.0,0.0,0.0,78000000.0,2989116523.0,20157380000.0,0.0,0.0,47472409795.0,58256120910.0,1851300000.0,23270971690.0,-1265066.0,-323426789.0,33458541075.0,8242939852.0,66499060762.0,113971470557.0,와이엠티
