date,유동자산,현금및현금성자산,단기금융상품,당기손익-공정가치금융자산,기타포괄손익-공정가치금융자산,매출채권및기타채권,기타금융자산,기타유동자산,재고자산,비유동자산,장기금융상품,기타포괄손익-공정가치금융자산,관계기업투자자산,매도가능금융자산,기타금융자산,유형자산,무형자산,이연법인세자산,자산총계,유동부채,매입채무,단기차입금,전환사채,신주인수권부사채,파생상품부채,기타금융부채,기타유동부채,당기법인세부채,비유동부채,전환사채,파생상품부채,기타금융부채,부채총계,지배기업 소유주지분,자본금,주식발행초과금,기타자본항목,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,83779224973.0,4306005905.0,4118000000.0,54021307820.0,2400000000.0,4185853897.0,5644086649.0,639311864.0,8464658838.0,17379529394.0,320427120.0,1000500000.0,2406021657.0,,230423542.0,12156037041.0,325395.0,1265794639.0,101158754367.0,69669698739.0,5886883934.0,380730000.0,25039692857.0,25039692857.0,11187548296.0,972103439.0,1163047356.0,,7875569318.0,5865143621.0,1677529582.0,332896115.0,77545268057.0,23613486310.0,8800170500.0,8960742712.0,841621751.0,5010951347.0,,23613486310.0,101158754367.0,에이프런티어
20181231,29054282453.0,12150880744.0,6398344005.0,864439428.0,,2551764054.0,40138969.0,359128963.0,6689586290.0,4938123591.0,1020000000.0,200010000.0,,,57528000.0,3356481303.0,883215.0,303221073.0,33992406044.0,5640001728.0,3207642388.0,,,,,535884820.0,1635251163.0,261223357.0,,,,,5640001728.0,28352404316.0,8800170500.0,8960742712.0,994289384.0,9597201720.0,,28352404316.0,33992406044.0,에이프런티어
20171231,28828649342.0,11699337342.0,6327000000.0,,,3282370119.0,54455435.0,76458630.0,7389027816.0,4121162308.0,20000000.0,,,200010000.0,44903700.0,3441815390.0,1826035.0,412607183.0,32949811650.0,6026321775.0,4037115091.0,,,,,501850400.0,1132802897.0,354553387.0,1074000000.0,,,1074000000.0,7100321775.0,25849489875.0,8800170500.0,8960742712.0,994289384.0,7094287279.0,,25849489875.0,32949811650.0,에이프런티어
