date,유동자산,현금및현금성자산,매출채권 및 기타채권,재고자산,계약자산,기타금융자산,기타유동자산,매각예정자산,당기법인세자산,비유동자산,유형자산,투자부동산,무형자산,비유동매도가능금융자산,기타포괄손익-공정가치 측정 금융자산,기타금융자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타채무,유동성리스부채,차입금,유동신주인수권부사채,유동전환사채,유동사채,당기법인세부채,계약부채,기타금융부채,기타유동부채,비유동부채,리스부채,장기차입금,사채,순확정급여부채,기타금융부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,기타불입자본,자본조정,이익잉여금,기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,67268569600.0,12310160672.0,13330225517.0,35073281864.0,598457301.0,2422502355.0,1120713398.0,1987454443.0,425774050.0,175057226565.0,162031968988.0,1964355037.0,2631597700.0,,1000.0,3423135767.0,5006168073.0,242325796165.0,85582601978.0,13253429294.0,655320137.0,61011277613.0,,,8800000000.0,,,13085776.0,1849489158.0,34764718472.0,308949115.0,26311597294.0,5800833452.0,2054883788.0,288454823.0,120347320450.0,121978475715.0,6707959500.0,67417953140.0,-1023574670.0,48954111465.0,-77973720.0,0.0,121978475715.0,242325796165.0,아이원스
20181231,66689294030.0,5510953295.0,16214888550.0,40679357199.0,458068030.0,2103413603.0,1722613353.0,,,190476484304.0,177254126286.0,1985201521.0,2384375752.0,,40049200.0,6806311183.0,2006420362.0,257165778334.0,90741345328.0,18453434381.0,818839722.0,60019239546.0,1779609637.0,738836220.0,5000000000.0,827191939.0,543277267.0,11740400.0,2549176216.0,39756607058.0,414042150.0,33612173842.0,3000000000.0,2691963837.0,38427229.0,130497952386.0,126667825948.0,6707959500.0,67417953140.0,,52619912528.0,-77999220.0,,126667825948.0,257165778334.0,아이원스
20171231,68580456649.0,9892897001.0,18787362213.0,30525918809.0,,1436464963.0,7937813663.0,,,179897181134.0,170924364820.0,2006048005.0,2015363985.0,40049200.0,,4561032259.0,350322865.0,248477637783.0,97872151502.0,20856081935.0,545083139.0,53196922000.0,5035641999.0,14045195014.0,,1131837993.0,,,3061389422.0,28410802947.0,1232881872.0,19849920000.0,5000000000.0,2312221075.0,15780000.0,126282954449.0,122194683334.0,6707959500.0,67417953140.0,,48066594953.0,2175741.0,,122194683334.0,248477637783.0,아이원스
