date,유동자산,현금및현금성자산,매출채권,계약자산,기타수취채권,기타금융자산,재고자산,기타자산,당기법인세자산,비유동자산,기타수취채권,기타금융자산,유형자산,무형자산,자산총계,유동부채,매입채무,단기차입금,기타지급채무,당기법인세부채,계약부채,기타부채,전환사채,비유동부채,장기차입금,전환사채,확정급여부채,기타부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,주식발행초과금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,142046985512.0,12419397923.0,31431234918.0,34499630758.0,7605607483.0,21657165867.0,17971252264.0,16187837139.0,274859160.0,485884358062.0,532910000.0,1042842074.0,483157665629.0,1150940359.0,627931343574.0,304319416012.0,73239429507.0,134320955409.0,39043906224.0,721578764.0,35781931134.0,12315835687.0,8895779287.0,127833074864.0,87540907414.0,16879903655.0,2791249914.0,18086554074.0,2534459807.0,432152490876.0,134546224989.0,13931710000.0,62246594411.0,-5122022102.0,20271620891.0,43218321789.0,61232627709.0,195778852698.0,627931343574.0,삼강엠앤티
20181231,55177112811.0,3459820560.0,16322586760.0,15141453698.0,1501569647.0,1638505789.0,8445657914.0,8387594893.0,279923550.0,482881230600.0,694963557.0,3170085871.0,477949933106.0,1066248066.0,538058343411.0,157932789696.0,25483642361.0,81912613241.0,25345522093.0,,13396487524.0,5406237606.0,6388286871.0,154433956255.0,140395681978.0,8534119395.0,2894613273.0,130442739.0,2479098870.0,312366745951.0,149170507097.0,13212704500.0,56302555306.0,-7071542480.0,20271620891.0,66455168880.0,76521090363.0,225691597460.0,538058343411.0,삼강엠앤티
20171231,59797655001.0,22850261905.0,30662312201.0,,704403908.0,114072531.0,826263151.0,4566098485.0,74242820.0,470665927517.0,909485557.0,3597020553.0,465038734609.0,1120686798.0,530463582518.0,157354137712.0,18597047016.0,104948965603.0,19224098518.0,,,14584026575.0,,123703686169.0,99756203731.0,18710905390.0,2177104589.0,36951085.0,3022521374.0,281057823881.0,161471672705.0,8426850500.0,24084990208.0,-7093822845.0,20271620891.0,115782033951.0,87934085932.0,249405758637.0,530463582518.0,삼강엠앤티
