date,유동자산,현금및현금성자산,금융자산,매출채권 및 기타채권,기타유동자산,재고자산,비유동자산,유형자산,투자부동산,무형자산,기타비유동금융자산,당기손익-공정가치측정금융자산,종속기업 및 관계기업투자,이연법인세자산,파생금융자산,기타투자자산,자산총계,유동부채,매입채무 및 기타채무,차입금,유동성장기부채,금융부채,당기법인세부채,파생금융부채,기타유동부채,충당부채,리스부채,비유동부채,차입금,매입채무 및 기타채무,금융부채,퇴직급여부채,파생금융부채,리스부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,102267146297.0,24301382958.0,16057150466.0,23452285955.0,3875375818.0,34580951100.0,81276571458.0,25375213349.0,1926605884.0,16448166438.0,3928855219.0,3433918643.0,29092735074.0,1031230171.0,17846680.0,22000000.0,183543717755.0,61145884388.0,20968313498.0,17085351016.0,8226765494.0,1198312879.0,6199100927.0,2809896849.0,1450627626.0,1553143801.0,1654372298.0,16394520712.0,7465164695.0,973338126.0,1102307090.0,5101372032.0,150822920.0,1601515849.0,,77540405100.0,105466379505.0,10007297000.0,55926073156.0,-2496680.0,1135978519.0,38399527510.0,536933150.0,106003312655.0,183543717755.0,바이오스마트
20181231,62994048267.0,7506528618.0,2176268271.0,19223280386.0,2609608067.0,31478362925.0,78389400764.0,20058266166.0,1947776001.0,15041835811.0,4003482291.0,3149889228.0,33304441440.0,883709827.0,,,141383449031.0,44610869087.0,16718664636.0,17813184362.0,2458291793.0,1618298531.0,1507446945.0,2476539014.0,1639024130.0,379419676.0,,14169553617.0,7226743294.0,1704909458.0,710328289.0,4526119829.0,1452747.0,,,58780422704.0,80490777541.0,9989470000.0,53520844389.0,-2496680.0,259913577.0,16723046255.0,2112248786.0,82603026327.0,141383449031.0,바이오스마트
20171231,35853401610.0,5609480573.0,2427097788.0,8980864196.0,1358491774.0,17477467279.0,76881931948.0,18784817646.0,1962574208.0,16487311121.0,7528913883.0,,32098361122.0,,19953968.0,,112735333558.0,25939753061.0,11186748992.0,9156713000.0,2216462034.0,673389723.0,1529545979.0,5280129.0,895547077.0,276066127.0,,23245172381.0,16227646887.0,,63700000.0,2587751828.0,3809214000.0,,556859666.0,49184925442.0,64761367084.0,8847846000.0,43294982054.0,-2496680.0,310990504.0,12310045206.0,-1210958968.0,63550408116.0,112735333558.0,바이오스마트
