date,유동자산,현금및현금성자산,단기금융상품,매출채권,기타수취채권,당기법인세자산,기타자산,재고자산,비유동자산,장기금융상품,장기성매출채권,매도가능금융자산,당기손익-공정가치측정금융자산,관계기업투자주식,기타수취채권,유형자산,무형자산,이연법인세자산,자산총계,유동부채,매입채무,단기차입금,기타지급채무,기타부채,유동성장기부채,당기법인세부채,비유동부채,장기차입금,기타지급채무,충당부채,퇴직급여채무,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,126020976615.0,29589503933.0,699282520.0,67968915913.0,974319119.0,32830.0,2516462739.0,24272459561.0,40615049338.0,140000000.0,8864920365.0,,162453824.0,450473199.0,694521129.0,25623578146.0,2454152544.0,2224950131.0,166636025953.0,64727832662.0,57382128509.0,70428651.0,5792613341.0,592961534.0,599920000.0,289780627.0,5493254756.0,1349820000.0,1895881439.0,628564046.0,1618989271.0,70221087418.0,96414938535.0,4875000000.0,58664873484.0,-154705048.0,33029770099.0,,96414938535.0,166636025953.0,로보스타
20181231,130056361116.0,48670794442.0,330260866.0,51882954355.0,72861513.0,,2367097186.0,26732392754.0,41457039791.0,470880000.0,8987763552.0,,162453824.0,388488759.0,1435486483.0,24990067546.0,2796949496.0,2224950131.0,171513400907.0,65381827530.0,55078609128.0,1489840852.0,4515623219.0,312570024.0,599920000.0,3385264307.0,3360724177.0,1949740000.0,879290700.0,507994807.0,23698670.0,68742551707.0,102770849200.0,4875000000.0,58664873484.0,-179530887.0,39410506603.0,,102770849200.0,171513400907.0,로보스타
20171231,90816193352.0,15193131408.0,846780760.0,40610310150.0,300872616.0,38180.0,1457776646.0,32407283592.0,39418582883.0,1791742326.0,6815475754.0,19000000.0,,378816699.0,509046610.0,25347574583.0,2867098636.0,1689828275.0,130234776235.0,69538191380.0,57779162129.0,6936048831.0,2557305110.0,215374004.0,1922220000.0,128081306.0,10436313187.0,6121380000.0,1155379520.0,658719906.0,2500833761.0,79974504567.0,50270138101.0,3900000000.0,6239301080.0,-151736491.0,40282573512.0,-9866433.0,50260271668.0,130234776235.0,로보스타
