date,유동자산,현금및현금성자산,매출채권,단기미수금,단기미수수익,당기법인세자산,부가가치세대급금,재고자산,기타유동자산,기타유동금융자산,비유동자산,유형자산,무형자산,관계기업투자주식,이연법인세자산,사용권자산,기타비유동자산,기타비유동금융자산,자산총계,유동부채,단기매입채무,단기차입금,단기미지급금,단기미지급비용,당기법인세부채,유동성장기차입금,유동성사채,기타유동부채,기타유동금융부채,비유동부채,장기차입금,사채,퇴직급여부채,이연법인세부채,기타비유동부채,기타비유동금융부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,이익잉여금(결손금),기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,387549082707.0,37675054905.0,235316679639.0,4388735665.0,14840671.0,1164457531.0,6170576846.0,92741726764.0,6249935767.0,3827074919.0,287440480118.0,241024146223.0,5177074320.0,974415859.0,5068129239.0,25212553597.0,7370237500.0,2613923380.0,674989562825.0,449619204368.0,258538355250.0,91837873582.0,36572840514.0,12253645083.0,10037816588.0,27717238793.0,780842765.0,6033516463.0,5847075330.0,60256647132.0,7557743997.0,,3216334656.0,17647405428.0,2156487829.0,29678675222.0,509875851500.0,69748998601.0,12461673000.0,5504258789.0,-29379022238.0,81162089050.0,95364712724.0,165113711325.0,674989562825.0,우리조명
20181231,402082745759.0,19321855003.0,263191731289.0,5717504529.0,82850879.0,2802890101.0,4393063826.0,97157957559.0,3690719163.0,5724173410.0,274520368621.0,248370601654.0,8027658167.0,2569578475.0,5317513412.0,,7283570248.0,2951446665.0,676603114380.0,455136010912.0,277743554577.0,106999914109.0,32660977580.0,8413436506.0,373844457.0,19399512258.0,4000156568.0,5544614857.0,0.0,62478299163.0,25300000000.0,,4485474868.0,17696571416.0,2923598506.0,12072654373.0,517614310075.0,70426164794.0,12461673000.0,5504258789.0,-26602989359.0,79063222364.0,88562639511.0,158988804305.0,676603114380.0,우리조명
20171231,402605544145.0,40277729903.0,242315533046.0,14398031875.0,49138803.0,975664771.0,7237269484.0,83118074970.0,6551702380.0,7682398913.0,280147543820.0,249329703694.0,10351015985.0,2728299374.0,7055034738.0,,3484389263.0,7199100766.0,682753087965.0,443033882266.0,242196044390.0,104504674298.0,39604363159.0,10779604611.0,176274824.0,39458988429.0,1098970985.0,5176324769.0,38636801.0,44265217359.0,4374999998.0,6755542977.0,3475653619.0,19069960918.0,10589059847.0,,487299099625.0,80594302364.0,12461673000.0,5504258789.0,-13744578979.0,76372949554.0,114859685976.0,195453988340.0,682753087965.0,우리조명
