date,유동자산,현금및현금성자산,단기금융상품.,매출채권및기타채권,당기법인세자산.,재고자산,기타유동자산,비유동자산,장기금융상품.,기타비유동금융자산.,유형자산,무형자산,이연법인세자산.,기타비유동자산.,장기기타채권.,자산총계,유동부채,매입채무및기타채무,단기차입금.,유동성장기차입금.,당기법인세부채,기타유동금융부채.,기타유동부채,장기기타채권.,전환상환우선주부채.,파생상품평가부채.,비유동부채,장기차입금.,기타비유동금융부채.,기타비유동부채.,확정급여부채.,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금.,자본잉여금.,기타자본항목.,기타포괄손익누계액,이익잉여금.,비지배지분.,자본총계,자본과부채총계,company
20191231,86723597108.0,29897595458.0,,35879773622.0,288624204.0,14891193175.0,5766410649.0,119702963509.0,3553871712.0,815822683.0,100942435978.0,1535479357.0,1748547046.0,11106806733.0,,206426560617.0,57319868435.0,27228524002.0,27220000000.0,,1899409427.0,180684484.0,791250522.0,,,,10282868132.0,7000000000.0,55174505.0,1325889957.0,1901803670.0,67602736567.0,138182415748.0,5821000000.0,49335355171.0,189423019.0,690690107.0,82145947451.0,641408302.0,138823824050.0,206426560617.0,세경하이테크
20181231,86579201101.0,10415077148.0,1500000000.0,46975172660.0,,21281162069.0,6407789224.0,62215943651.0,1196500074.0,738448388.0,54782028708.0,340143399.0,2145497697.0,3013325385.0,,148795144752.0,59177408590.0,51573828141.0,,3140420000.0,3633037708.0,,830122741.0,,,,1640028015.0,85000000.0,,,1555028015.0,60817436605.0,87977708147.0,2400000000.0,22951863221.0,556282526.0,185335984.0,61884226416.0,0.0,87977708147.0,148795144752.0,세경하이테크
20171231,36409094556.0,10460447175.0,4288730988.0,10811137811.0,18782500.0,8791668534.0,2038327548.0,37019179727.0,1373363674.0,,30290439783.0,365179356.0,1771444409.0,3078976579.0,139775926.0,73428274283.0,19667030552.0,12609941279.0,,3022730000.0,,,354028944.0,,2155642829.0,1524687500.0,4035978559.0,3107730000.0,,,928248559.0,23703009111.0,49725265172.0,2243750000.0,17494094313.0,-38411536.0,-547570399.0,30573402794.0,,49725265172.0,73428274283.0,세경하이테크
