date,유동자산,현금및현금성자산,단기금융상품,당기손익인식금융자산,당기손익-공정가치금융자산,매출채권,기타수취채권,기타유동자산,계약자산,당기법인세자산,재고자산,비유동자산,장기금융상품,당기손익-공정가치금융자산,기타포괄손익-공정가치 금융자산,관계기업투자주식,유형자산,투자부동산,무형자산,사용권자산,기타비유동수취채권,기타비유동자산,이연법인세자산,자산총계,유동부채,유동 당기손익-공정가치 공정가치 금융부채,매입채무,기타지급채무,단기금융부채,파생상품부채,유동리스부채,기타유동부채,계약부채,당기법인세부채,비유동부채,장기금융부채,비유동파생상품부채,기타비유동지급채무,비유동리스부채,퇴직급여부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,49062694605.0,6773378266.0,1866000000.0,,7319601268.0,16527801926.0,3908625625.0,2141867236.0,304726364.0,2812530.0,10217881390.0,122944424661.0,70899441.0,8499773520.0,735798258.0,8496187043.0,49956908051.0,34707502480.0,10342594996.0,252148271.0,3095109147.0,563964934.0,6223538520.0,172007119266.0,42502263604.0,43400000.0,5815871398.0,4318385748.0,29601680000.0,,164782684.0,279566421.0,2054336981.0,224240372.0,71113241086.0,69738343005.0,,194268833.0,88972260.0,231022848.0,860634140.0,113615504690.0,56928014545.0,7001664000.0,48671680421.0,-5830181754.0,1207078272.0,5877773606.0,1463600031.0,58391614576.0,172007119266.0,예스티
20181231,57191824002.0,1920486142.0,6174074.0,,9752710517.0,14248025556.0,3632262189.0,1292780835.0,1318898333.0,20105784.0,25000380572.0,77713116512.0,,2015289532.0,829737318.0,13032512700.0,37714483277.0,14994535350.0,6508989659.0,,2444050762.0,173517914.0,,134904940514.0,53329018586.0,,6513026408.0,2955416116.0,36144585511.0,6284450200.0,,256149867.0,1148504091.0,26886393.0,25971761942.0,25347495469.0,,109805725.0,,,514460748.0,79300780528.0,55604159986.0,5500917500.0,21901960761.0,-6634958356.0,-913930480.0,35750170561.0,,55604159986.0,134904940514.0,예스티
20171231,80199403177.0,15702336066.0,,7309310247.0,,20169722257.0,3046015374.0,3002436487.0,3761708851.0,,27207873895.0,43867100135.0,,700409216.0,1209950000.0,3061298649.0,22216550831.0,9566313210.0,4813935243.0,,2118679972.0,179963014.0,,124066503312.0,32488716284.0,,12877275795.0,3206073733.0,11092930193.0,,,413051616.0,3702117057.0,1197267890.0,33106366810.0,28994503941.0,2248140000.0,62049051.0,,,1801673818.0,65595083094.0,58471420218.0,2163660500.0,22444843745.0,-2556776804.0,-21457114.0,36441149891.0,,58471420218.0,124066503312.0,예스티
