date,유동자산,현금및현금성자산,단기금융상품,매출채권 및 기타유동채권,계약자산,당기손익-공정가치금융자산,당기손익인식금융자산,기타유동금융자산,기타유동자산,재고자산,당기법인세자산,비유동자산,장기금융상품,당기손익-공정가치금융자산(비유동),기타포괄손익-공정가치금융자산,장기매도가능금융자산,장기매출채권 및 기타비유동채권,기타비유동금융자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",유형자산,무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입금,기타유동금융부채,기타유동부채,당기법인세부채,유동성전환사채,유동성장기부채,비유동부채,장기매입채무 및 기타비유동채무,장기미지급금,장기차입금,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,주식발행초과금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,275113836337.0,147275258878.0,4000000000.0,39773595981.0,11879934985.0,1729355800.0,0.0,6012556252.0,4190686355.0,60226089376.0,26358710.0,175896849552.0,0.0,2910870000.0,12838420460.0,0.0,1232241468.0,605268764.0,0.0,149541333504.0,965918547.0,694015.0,7802102794.0,451010685889.0,107059072116.0,29140829035.0,9000000000.0,8737057531.0,24732070086.0,2985958040.0,29234637424.0,3228520000.0,2088801758.0,2088801758.0,1971390000.0,117411758.0,109147873874.0,334066308197.0,18534460500.0,83446108888.0,-29247350560.0,14261715.0,261318827654.0,7796503818.0,341862812015.0,451010685889.0,톱텍
20181231,284796131539.0,207718522192.0,5000000000.0,25594836129.0,15588777705.0,1438268000.0,0.0,4798687791.0,2345045694.0,22227254843.0,84739185.0,107997128478.0,1413678682.0,,2275170472.0,0.0,1688241468.0,624150764.0,184376407.0,94260709717.0,801531747.0,1170803.0,6748098418.0,392793260017.0,43622028025.0,21273385963.0,5000000000.0,7468321221.0,3109815560.0,3541985281.0,,3228520000.0,5323709373.0,5323709373.0,123799373.0,5199910000.0,48945737398.0,334721707403.0,18534460500.0,83580452023.0,-30272379760.0,-1605332.0,262880779972.0,9125815216.0,343847522619.0,392793260017.0,톱텍
20171231,350687949863.0,239360288393.0,13860026515.0,58888577185.0,,0.0,440043000.0,5226960636.0,3587002409.0,29323717595.0,1334130.0,94490914431.0,1108807845.0,,0.0,755370472.0,2768785522.0,598529164.0,0.0,81899684487.0,1047522747.0,4007693.0,6308206501.0,445178864294.0,109316843705.0,61985094410.0,5000000000.0,5266596199.0,4694952303.0,29489319177.0,,2880881616.0,8450927408.0,8450927408.0,0.0,8450927408.0,117767771113.0,328044537400.0,18175562000.0,68670941098.0,-3990051036.0,328844666.0,244859240672.0,-633444219.0,327411093181.0,445178864294.0,톱텍
