date,유동자산,현금및현금성자산,매출채권 및 기타채권,기타유동자산,당기법인세자산,재고자산,비유동자산,매출채권 및 기타채권,기타금융상품,관계기업투자,유형자산,무형자산,사용권자산,자산총계,유동부채,매입채무 및 기타채무,단기차입금,전환사채,유동확정계약부채,파생상품부채,기타유동부채,리스부채(유동),비유동부채,매입채무 및 기타채무,확정퇴직급여부채,판매보증충당부채,비유동리스부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,결손금,비지배지분,자본총계,자본과부채총계,company
20191231,13364642030.0,804895857.0,3940691618.0,1390777847.0,3902370.0,7224374338.0,8642675058.0,1811108544.0,473200000.0,654358030.0,1643545442.0,1834691046.0,2225771996.0,22007317088.0,9899998168.0,3716596069.0,2915045368.0,1413211490.0,12131030.0,933622800.0,106236482.0,803154929.0,2276677062.0,120000000.0,732386828.0,92287878.0,1332002356.0,12176675230.0,9846112452.0,8233065500.0,21921522495.0,-741545546.0,-19566929997.0,-15470594.0,9830641858.0,22007317088.0,ITX엠투엠
20181231,14058952699.0,2514414223.0,2890427236.0,1774596881.0,5159740.0,6874354619.0,6537461785.0,1694820785.0,120000000.0,480156685.0,1463891712.0,2778592603.0,0.0,20596414484.0,5521874223.0,2302821876.0,3127885973.0,0.0,41610994.0,0.0,49555380.0,0.0,257678729.0,0.0,147995193.0,109683536.0,0.0,5779552952.0,14816861532.0,8233065500.0,21921522495.0,-757214630.0,-14580511833.0,0.0,14816861532.0,20596414484.0,ITX엠투엠
20171231,15367546611.0,285444330.0,5904658474.0,1496437587.0,14319300.0,7666686920.0,12541733326.0,756300785.0,1166214776.0,0.0,8033177727.0,2586040038.0,0.0,27909279937.0,9603733369.0,3694364681.0,5805064904.0,0.0,0.0,0.0,104303784.0,0.0,1137142861.0,1137142861.0,0.0,0.0,0.0,10740876230.0,17168403707.0,8233065500.0,21921522495.0,-804323422.0,-12181860866.0,0.0,17168403707.0,27909279937.0,ITX엠투엠
