date,유동자산,현금및현금성자산,기타유동금융자산,당기손익-공정가치측정 금융자산(유동),기타포괄손익-공정가치측정 금융자산(유동),만기보유금융자산(유동),파생상품자산(유동),매출채권,계약자산(유동),기타유동채권,기타유동자산,재고자산,비유동자산,유형자산,무형자산,당기손익-공정가치측정 금융자산(비유동),기타포괄손익-공정가치측정 금융자산(비유동),매도가능금융자산(비유동),만기보유금융자산(비유동),기타비유동금융자산,이연법인세자산,계약자산(비유동),기타비유동채권,기타비유동자산,자산총계,유동부채,매입채무 및 기타채무,계약부채(유동),기타유동부채,차입금(유동),리스부채(유동),충당부채(유동),금융보증부채(유동),당기법인세부채,비유동부채,차입금(비유동),리스부채(비유동),순확정급여부채,기타비유동부채,기타비유동금융부채,충당부채(비유동),지급보증채무,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,1098458551861.0,208984395095.0,84240456677.0,29731864938.0,57427095824.0,0.0,0.0,209987986154.0,313607707812.0,11487349137.0,58598461206.0,124393235018.0,707448621371.0,490779968301.0,77432263033.0,756251649.0,54717460959.0,0.0,0.0,2124400876.0,46378353641.0,29435630545.0,4532934891.0,1291357476.0,1805907173232.0,665329115328.0,211427082458.0,139246229147.0,3393255251.0,241322626148.0,963597568.0,121725162.0,35860784249.0,32993815345.0,28512699514.0,4970845428.0,6876860140.0,11933286408.0,0.0,36497585.0,0.0,0.0,4695209953.0,693841814842.0,875439217039.0,17954380000.0,35295759651.0,-85866997961.0,-3006504653.0,911062580002.0,236626141351.0,1112065358390.0,1805907173232.0,에스에프에이
20181231,958567880938.0,329313712831.0,74847660714.0,20034921931.0,56384223849.0,0.0,0.0,167445544624.0,195886555146.0,5646432959.0,33394869657.0,75613959227.0,701963937206.0,495458249090.0,88998688662.0,889877290.0,54801075447.0,0.0,0.0,10350342117.0,44239086357.0,0.0,5862202656.0,1364415587.0,1660531818144.0,404841569112.0,157582275673.0,168070753291.0,6266706781.0,44311785054.0,0.0,189309363.0,0.0,28420738950.0,252702792994.0,205576025703.0,0.0,9747683839.0,0.0,1897629542.0,0.0,35481453910.0,0.0,657544362106.0,784875232769.0,17954380000.0,34956237251.0,-86978135750.0,-4715022131.0,823657773399.0,218112223269.0,1002987456038.0,1660531818144.0,에스에프에이
20171231,1133098145102.0,585865180817.0,84541372991.0,0.0,0.0,720000.0,2521042531.0,165169846902.0,235054954361.0,6212227664.0,25206358122.0,28526441714.0,677710798233.0,503697009382.0,107588464852.0,0.0,0.0,7786645728.0,168315155.0,3192116303.0,46989510655.0,0.0,6966319209.0,1322416949.0,1810808943335.0,540949050902.0,177243806554.0,259156326891.0,7585918541.0,37570625989.0,0.0,607123195.0,0.0,58785249732.0,320120747394.0,211878570443.0,0.0,8863245610.0,5998083.0,1594293759.0,27547586139.0,35115526680.0,35115526680.0,861069798296.0,777291413002.0,17954380000.0,35386445053.0,0.0,-6149106962.0,730099694911.0,207563258717.0,984854671719.0,1845924470015.0,에스에프에이
