date,유동자산,현금및현금성자산,단기금융상품,매출채권및계약자산,기타채권,기타유동자산,당기법인세자산,재고자산,비유동자산,장기금융자산,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,매도가능금융자산,관계기업투자,비유동성기타채권,투자부동산,유형자산,무형자산,이연법인세자산,자산총계,유동부채,매입채무,기타채무,기타유동부채,파생금융상품부채,당기법인세부채,단기차입금,유동성충당부채,유동성전환사채,유동성장기부채,비유동부채,장기차입금,전환사채,파생금융상품부채,비유동성기타채무,기타비유동부채,충당부채,부채총계,지배기업소유주지분,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,비지배지분,자본총계,부채및자본총계,company
20191231,58913694257.0,5711349671.0,,27422963964.0,3364059456.0,362465287.0,20745400.0,22032110479.0,27327346020.0,,1344398763.0,50000000.0,,2325633688.0,502464762.0,7779543157.0,11776953641.0,2851944065.0,696407944.0,86241040277.0,62063213917.0,7843970202.0,4412354478.0,14681031755.0,3921285214.0,31716618.0,20266000000.0,606728536.0,6725127118.0,3574999996.0,4680728620.0,2958333340.0,,,1081230339.0,111825388.0,529339553.0,66743942537.0,19497097740.0,5596184000.0,14449998309.0,-3966714470.0,-18217297.0,3435847198.0,,19497097740.0,86241040277.0,베셀
20181231,56380519013.0,2026412895.0,684813566.0,26851633211.0,2034392534.0,518510419.0,,24264756388.0,28865593780.0,,1407955937.0,50000000.0,,2356332000.0,499258811.0,7876515938.0,11785859152.0,3379416122.0,1510255820.0,85246112793.0,41248142368.0,5024789368.0,2904233797.0,17012800213.0,504952522.0,134699804.0,12900000000.0,,,2766666664.0,13456285664.0,3533333336.0,5552876941.0,1911446509.0,1088829813.0,,1369799065.0,54704428032.0,30541684761.0,5596184000.0,14449998309.0,-3966714470.0,-18127688.0,14480344610.0,,30541684761.0,85246112793.0,베셀
20171231,66830620921.0,8841482611.0,9815631100.0,45421934903.0,2352454783.0,399117524.0,,,30837930353.0,126155454.0,,,729756800.0,,355889949.0,8121356467.0,12263480635.0,7458677390.0,1782613658.0,97668551274.0,43467903068.0,14611240471.0,7556018954.0,595400414.0,,387553229.0,17474000000.0,,,2843690000.0,8932263955.0,5800000000.0,,,1190689200.0,,1941574755.0,52400167023.0,45268384251.0,5596184000.0,14449998309.0,-997484410.0,-11124835.0,26230811187.0,,45268384251.0,97668551274.0,베셀
