date,유동자산,현금및현금성자산,매출채권 및 기타유동채권,기타유동금융자산,기타유동자산,재고자산,비유동자산,유형자산,투자부동산,무형자산,사용권자산,관계기업투자및신기술조합투자,이연법인세자산,기타비유동금융자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입금,기타유동금융부채,기타유동부채,당기법인세부채,비유동부채,기타비유동금융부채,비유동충당부채,퇴직급여부채,부채총계,지배기업의 소유지분,자본금,자본잉여금,이익잉여금,기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,194546444346.0,99074132528.0,10384508813.0,64209278479.0,1230637698.0,19647886828.0,100550801445.0,33879331985.0,149291107.0,14637208787.0,305893417.0,13079837233.0,3587230465.0,34912008451.0,295097245791.0,34280291545.0,17042141085.0,5000000000.0,178378503.0,9610473019.0,2449298938.0,5766154779.0,691643399.0,5000595000.0,73916380.0,40046446324.0,200340869778.0,10348314000.0,34061842152.0,307917295646.0,-151986582020.0,54709929689.0,255050799467.0,295097245791.0,유비쿼스홀딩스
20181231,172994875151.0,61182012555.0,11137877831.0,81570994740.0,1605656104.0,17498333921.0,105961225298.0,36026297035.0,163448599.0,15085827201.0,0.0,7439975455.0,2927416817.0,44318260191.0,278956100449.0,27726886455.0,14388601882.0,5000000000.0,0.0,6119380248.0,2218904325.0,5581124471.0,550405000.0,4843635923.0,187083548.0,33308010926.0,195951509232.0,10348314000.0,34061842152.0,303419069254.0,-151877716174.0,49696580291.0,245648089523.0,278956100449.0,유비쿼스홀딩스
20171231,90625162006.0,61511592808.0,1781252958.0,27297122419.0,35193821.0,0.0,70437251957.0,27640895125.0,177606091.0,2037931.0,0.0,12247918623.0,610905385.0,29757888802.0,161062413963.0,3465724036.0,2430265522.0,0.0,0.0,0.0,1035458514.0,1857053220.0,1857053220.0,0.0,0.0,5322777256.0,155739636707.0,8038022500.0,5251879386.0,305640705969.0,-163190971148.0,0.0,155739636707.0,161062413963.0,유비쿼스홀딩스
