date,유동자산,현금및현금성자산,금융기관예치금,매출채권,기타채권,유동계약자산,기타유동금융자산,재고자산,기타유동자산,비유동자산,금융기관예치금,기타채권,기타금융자산,관계기업투자,투자부동산,유형자산,무형자산,기타비유동자산,자산총계,유동부채,매입채무,차입금,기타채무,계약부채,유동파생상품부채,기타유동부채,비유동부채,장기차입금,기타채무,충당부채,확정급여부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,주식발행초과금,이익잉여금(결손금),기타포괄손익누계액,기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,39307760743.0,17184793760.0,10211043016.0,6875210076.0,2528586475.0,499846295.0,,505706027.0,1502575094.0,23832076382.0,76939397.0,11425668647.0,567822810.0,,6356335420.0,3934490882.0,1470819226.0,,63139837125.0,36140359855.0,4822290176.0,22245903670.0,1274459201.0,1263115418.0,5954384920.0,580206470.0,4155355149.0,1846129395.0,13300000.0,388552776.0,1907372978.0,40295715004.0,22202507656.0,6085528500.0,9875170198.0,-12004089251.0,54505802.0,18191392407.0,641614465.0,22844122121.0,63139837125.0,바른테크놀로지
20181231,17301470442.0,2221411910.0,3011152794.0,6780655377.0,3795478428.0,,45900000.0,571472622.0,875399311.0,11130277780.0,20715242.0,901583736.0,558045590.0,831925468.0,,8423810858.0,115644376.0,278552510.0,28431748222.0,14986294353.0,4677580584.0,7146521476.0,849398237.0,400000.0,569235000.0,1743159056.0,2716237726.0,1070000000.0,172705000.0,,1473532726.0,17702532079.0,9606575929.0,16397642500.0,5016555476.0,-12591730062.0,59903806.0,724204209.0,1122640214.0,10729216143.0,28431748222.0,바른테크놀로지
20171231,14949942190.0,971317093.0,7757227458.0,5868056400.0,15975870.0,,,188667580.0,148697789.0,14000561121.0,6500000.0,2328207115.0,567846528.0,3227243133.0,,7752645002.0,118119343.0,,28950503311.0,13555843832.0,3938635846.0,8244328868.0,482997013.0,,,889882105.0,1842484861.0,,204545000.0,,1637939861.0,15398328693.0,13552174618.0,15951861500.0,4726657218.0,-7683684869.0,142439560.0,414901209.0,,13552174618.0,28950503311.0,바른테크놀로지
