date,유동자산,현금및현금성자산,매출채권,기타유동금융자산,기타유동자산,재고자산,비유동자산,당기손익-공정가치금융자산,기타비유동금융자산,유형자산,사용권자산,무형자산,관계기업투자주식,이연법인세자산,기타비유동자산,자산총계,유동부채,매입채무,기타유동금융부채,리스부채,기타유동부채,당기법인세부채,비유동부채,장기차입금,기타비유동금융부채,비유동리스부채,순확정급여부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,주식발행초과금,기타자본,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,79998622253.0,29522792888.0,23890959043.0,322008968.0,683216461.0,25579644893.0,74373782292.0,3857437439.0,1174014387.0,58489646192.0,2254171127.0,1517681347.0,,5213350213.0,1867481587.0,154372404545.0,38861818517.0,20701703588.0,14885051684.0,540919515.0,1237829825.0,1496313905.0,23635369939.0,19500000000.0,165711778.0,1664519159.0,2305139002.0,62497188456.0,91790694367.0,4501870000.0,31996777185.0,-29613198.0,55321660380.0,84521722.0,91875216089.0,154372404545.0,노바렉스
20181231,63975251246.0,35594689866.0,14149502512.0,463235242.0,557830407.0,13209993219.0,42345723811.0,4043487136.0,890064132.0,31064664919.0,,1320675860.0,14521817.0,5012309947.0,,106320975057.0,26034091906.0,14739006062.0,3582618863.0,,1651648982.0,6060817999.0,1199357165.0,,210394938.0,,988962227.0,27233449071.0,78925099389.0,4501870000.0,31996777185.0,-66089419.0,42492541623.0,162426597.0,79087525986.0,106320975057.0,노바렉스
20171231,45605431420.0,21721994859.0,13791424263.0,629858495.0,730464315.0,8731689488.0,26193009130.0,,1555435410.0,23017588847.0,,1183980860.0,9709276.0,426294737.0,,71798440550.0,18659747783.0,14263151235.0,2415352776.0,,1226642502.0,754601270.0,800608495.0,,212287531.0,,588320964.0,19460356278.0,51876376020.0,3823970000.0,11677872726.0,858815797.0,35515717497.0,461708252.0,52338084272.0,71798440550.0,노바렉스
