date,유동자산,현금및현금성자산,당기손익인식금융자산,매출채권,기타채권,재고자산,당기법인세자산,파생상품자산,기타유동자산,비유동자산,장기금융상품,매도가능금융자산,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,관계기업투자,기타비유동채권,투자부동산,유형자산,무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무,당기법인세부채,기타채무,단기차입금,유동리스부채,기타유동부채,비유동부채,사채,장기차입금,비유동리스부채,순확정급여부채,기타비유동채무,부채총계,지배기업소유주지분,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금,비지배지분,자본총계,부채와자본총계,company
20191231,59027818857.0,12440388045.0,,21148366278.0,2232557170.0,22135230164.0,14457676.0,,1056819524.0,67632957451.0,992558450.0,,936670611.0,257370042.0,5872004082.0,106000239.0,15399952723.0,39163134749.0,2828813706.0,496023926.0,1580428923.0,126660776308.0,50854639020.0,7833270882.0,,10462498577.0,31599570016.0,393391488.0,565908057.0,7033173391.0,,4345400000.0,252187811.0,1552585580.0,883000000.0,57887812411.0,68453505142.0,11895286500.0,55103760398.0,-1576878501.0,-2401783.0,3033738528.0,319458755.0,68772963897.0,126660776308.0,오르비텍
20181231,59650488487.0,12316790375.0,,21518337211.0,1756418774.0,22782854101.0,4544420.0,,1271543606.0,66887205693.0,868529959.0,,2085891786.0,257370042.0,2437106131.0,655856739.0,15481886926.0,40901270646.0,2377668801.0,,1821624663.0,126537694180.0,45416328400.0,9870340055.0,12107570.0,16964700488.0,17776618288.0,,792561999.0,12952016727.0,,9411640016.0,,2685376711.0,855000000.0,58368345127.0,67829706099.0,11895286500.0,55103760398.0,-1576878501.0,-2401783.0,2409939485.0,339642954.0,68169349053.0,126537694180.0,오르비텍
20171231,53894025377.0,19391590059.0,3606764000.0,12238166445.0,3924545126.0,13890857417.0,21797290.0,108461492.0,711843548.0,60557989084.0,741401522.0,225981879.0,,,25769049.0,639281851.0,15578063058.0,40712103708.0,1534655101.0,,1100732916.0,114452014461.0,25691757258.0,7175367541.0,,12062988935.0,5874182448.0,,579218334.0,28991601148.0,6227141336.0,19360333344.0,,2529126468.0,875000000.0,54683358406.0,59768656055.0,10903744500.0,49911268522.0,-1576878501.0,-2151882.0,532673416.0,,59768656055.0,114452014461.0,오르비텍
