date,유동자산,현금및현금성자산,매출채권,재고자산,기타유동금융자산,기타유동자산,당기법인세자산,매각예정자산,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,관계기업투자주식,종속기업투자주식,투자부동산,유형자산,무형자산,기타비유동금융자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입금,기타유동금융부채,기타유동부채,유동 당기손익-공정가치 측정 지정 금융부채,유동성전환사채,유동성신주인수권부사채,비유동부채,기타비유동금융부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,17603430042.0,2811820328.0,4522435133.0,7560541312.0,2605789822.0,93846207.0,8997240.0,,62159645483.0,2000.0,30812182846.0,1734890895.0,11216596024.0,17875587178.0,496950060.0,23436480.0,,,79763075525.0,49391490374.0,10203570806.0,17000000000.0,585271142.0,1253161014.0,6415008398.0,13747578832.0,186900182.0,271980000.0,271980000.0,49663470374.0,30099605151.0,11337262000.0,87073648059.0,-6139144882.0,4714949095.0,-66887109121.0,,30099605151.0,79763075525.0,멜파스
20181231,14450429183.0,4682610219.0,4829039644.0,2536203729.0,2253763734.0,141858027.0,6953830.0,,70894796253.0,2000.0,38451402129.0,1685667155.0,7977880215.0,21728449030.0,712912254.0,323244610.0,15238860.0,,85345225436.0,47474374839.0,6977744313.0,19000000000.0,901318220.0,253421315.0,6251702000.0,6455348197.0,7634840794.0,87000000.0,87000000.0,47561374839.0,37783850597.0,10628575500.0,84877173978.0,-6139144882.0,3803350516.0,-55386104515.0,,37783850597.0,85345225436.0,멜파스
20171231,41564647101.0,1342191718.0,4593988665.0,4814293723.0,4762451875.0,197548005.0,30055490.0,25824117625.0,78827057955.0,2000.0,34791247851.0,2000.0,4335082555.0,26205041780.0,989331089.0,101169230.0,99942172.0,12305239278.0,120391705056.0,51145146933.0,5432913025.0,44000000000.0,1194812898.0,517421010.0,,,,109744778.0,109744778.0,51254891711.0,69136813345.0,10628575500.0,84877173978.0,-6176496972.0,4094416445.0,-24286855606.0,,69136813345.0,120391705056.0,멜파스
