date,유동자산,현금및현금성자산,단기금융상품,당기손익-공정가치 금융자산,매출채권,기타수취채권,기타유동자산,재고자산,비유동자산,장기금융상품,기타포괄-공정가치 금융자산,관계기업투자,유형자산,무형자산,기타장기수취채권,이연법인세자산,자산총계,유동부채,매입채무,미지급금,차입금,당기법인세부채,기타유동부채,비유동부채,차입금,퇴직급여채무,기타장기지급채무,부채총계,지배기업의 소유주지분,자본금,자본잉여금,기타자본,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,25775431226.0,7853328302.0,568445238.0,652705000.0,7373312303.0,2351060492.0,3522364195.0,3454215696.0,50757084692.0,6800000.0,1365000.0,,44410112735.0,3928064301.0,786556683.0,1624185973.0,76532515918.0,13184409459.0,5729989294.0,2067243863.0,1900000000.0,568213490.0,2918962812.0,23031725643.0,13525000000.0,9143124283.0,363601360.0,36216135102.0,40316380816.0,9361961500.0,16438662337.0,-301281123.0,14817038102.0,,40316380816.0,76532515918.0,엔피케이
20181231,32681783147.0,4889524915.0,12162224285.0,768980000.0,7328342490.0,1661367074.0,1893242509.0,3978101874.0,44271186139.0,187800000.0,1365000.0,557467381.0,37081579366.0,4213586766.0,792542121.0,1436845505.0,76952969286.0,11885138929.0,5013302974.0,1035443055.0,2597500000.0,136479218.0,3102413682.0,23591760832.0,13925000000.0,9465323497.0,201437335.0,35476899761.0,40830892853.0,9361961500.0,16438662337.0,-301281123.0,15331550139.0,645176672.0,41476069525.0,76952969286.0,엔피케이
20171231,35237973485.0,10205254897.0,10979020062.0,351240000.0,7858592604.0,1101709443.0,121272841.0,4620883638.0,41390817645.0,166800000.0,1365000.0,565228018.0,37611634634.0,1000232152.0,740652854.0,1304904987.0,76628791130.0,19402021014.0,9438341870.0,1473525919.0,5785000000.0,151685589.0,2553467636.0,13990532882.0,6022500000.0,7759761286.0,208271596.0,33392553896.0,42590808292.0,9361961500.0,16438662337.0,-301281123.0,17091465578.0,645428942.0,43236237234.0,76628791130.0,엔피케이
