date,유동자산,현금및현금성자산,단기금융상품,매출채권,기타수채권,재고자산,당기법인세자산,기타유동자산,비유동자산,장기금융상품,기타수취채권,비유동 기타포괄손익-공정가치 측정 금융자산,유형자산,무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무,기타지급채무,단기차입금,유동성장기차입금,전환사채,당기법인세부채,충당부채,기타부채,비유동부채,기타지급채무,장기차입금,순확정급여부채,이연법인세부채,전환사채,부채총계,지배기업의 소유주 지분,자본금,기타불입자본,이익잉여금(결손금),기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,45834343255.0,16913224297.0,60000000.0,14903081368.0,662498523.0,10485321010.0,13199512.0,2797018545.0,69319681000.0,1508650000.0,159291000.0,1760585070.0,63026527566.0,2767080853.0,97546511.0,,115154024255.0,28330410051.0,11298820507.0,1213156001.0,4222649134.0,631820000.0,7146279442.0,807054437.0,100143367.0,2910487163.0,20499015425.0,24359641.0,19753690000.0,74873760.0,646092024.0,0.0,48829425476.0,65511378101.0,5963760000.0,12113200857.0,48679748192.0,-1245330948.0,813220678.0,66324598779.0,115154024255.0,유니테크노
20181231,44423243999.0,19921283772.0,360000000.0,10388256564.0,670605999.0,8902322772.0,21393090.0,4159381802.0,65445857404.0,908650000.0,155791000.0,1578752820.0,60180292157.0,2544179275.0,78192152.0,,109869101403.0,18126396983.0,8096981670.0,677381220.0,0.0,4194930000.0,0.0,910082707.0,301625453.0,3945395933.0,27998185413.0,15188909.0,20374610000.0,46232060.0,864167290.0,6697987154.0,46124582396.0,62907443925.0,5963760000.0,14899336107.0,43093414835.0,-1049067017.0,837075082.0,63744519007.0,109869101403.0,유니테크노
20171231,39091583485.0,16400913145.0,870000000.0,10503558224.0,752273722.0,7003882879.0,17057439.0,3543898076.0,36372619537.0,341017500.0,148677500.0,764584500.0,32630258573.0,2441579465.0,46501999.0,,75464203022.0,17106735976.0,7258293261.0,644268219.0,0.0,4531080000.0,0.0,527784132.0,300156765.0,3845153599.0,3123184930.0,6479130.0,2129540000.0,111409150.0,875756650.0,0.0,20229920906.0,55234282116.0,5963760000.0,12720063012.0,37502041725.0,-951582621.0,0.0,55234282116.0,75464203022.0,유니테크노
