date,유동자산,현금및현금성자산,단기금융상품,당기손익인식금융자산,매출채권 및 기타유동채권,단기미청구공사,유동계약자산,재고자산,당기법인세자산,기타유동자산,비유동자산,장기금융상품,비유동매도가능금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,장기성매출채권및기타채권,장기미청구공사,장기계약자산,관계기업투자,공동기업투자,유형자산,투자부동산,무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,단기차입금,당기손익인식금융부채,매입채무 및 기타유동채무,유동성장기부채,단기초과청구공사,유동성전환사채,유동계약부채,충당부채,당기법인세부채,기타유동부채,비유동부채,장기차입금,장기매입채무및기타채무,기타비유동부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,기타불입자본,기타자본구성요소,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,134517297914.0,10720096138.0,3905164005.0,0.0,26620302586.0,0.0,73088764770.0,14498465305.0,0.0,5684505110.0,167997325922.0,562739271.0,0.0,81900000.0,783566575.0,0.0,48540559273.0,5940789620.0,13128134020.0,40372782295.0,42830315793.0,2542235995.0,1465806598.0,11748496482.0,302514623836.0,135345962490.0,78340757280.0,1902738204.0,32096890971.0,2400000000.0,0.0,5150104452.0,3014337636.0,9966822306.0,1945148924.0,529162717.0,1162986682.0,600000000.0,424713972.0,138272710.0,136508949172.0,166010051436.0,11521243500.0,41056958125.0,7539608856.0,105892240955.0,-4376772.0,166005674664.0,302514623836.0,DMS
20181231,159939971787.0,12415579268.0,17040958605.0,0.0,47088416662.0,0.0,64803476571.0,14616273960.0,0.0,3975266721.0,157374726270.0,2791338109.0,0.0,1605688020.0,477052632.0,0.0,43563724398.0,6823343520.0,0.0,42333059523.0,41275635113.0,2557811510.0,1447820106.0,14499253339.0,317314698057.0,162426446113.0,85675699071.0,0.0,39977684190.0,18400000000.0,0.0,0.0,5905325069.0,10047336645.0,2298838146.0,121562992.0,3408825749.0,3000000000.0,408825749.0,0.0,165835271862.0,151458088016.0,11516243500.0,45998774565.0,4733939343.0,89209130608.0,21338179.0,151479426195.0,317314698057.0,DMS
20171231,149549936171.0,16050268314.0,17166653367.0,418176291.0,25987507374.0,69723311811.0,0.0,17969335446.0,24889308.0,2209794260.0,148955263351.0,1887402575.0,2999261000.0,0.0,693155028.0,25301156121.0,0.0,6107269069.0,0.0,54974982060.0,35161100006.0,2892940614.0,1447990206.0,17490006672.0,298505199522.0,146972021897.0,66980571100.0,0.0,69184418522.0,330000000.0,2575449076.0,0.0,0.0,6341978250.0,0.0,1559604949.0,16330304263.0,16000000000.0,330304263.0,0.0,163302326160.0,135155360703.0,11468743500.0,45625019661.0,3514229006.0,74547368536.0,47512659.0,135202873362.0,298505199522.0,DMS
