date,유동자산,현금및현금성자산,매출채권,공정가치측정금융자산,기타금융자산,기타유동자산,재고자산,비유동자산,공정가치측정금융자산,매도가능금융자산,유형자산,무형자산,이연법인세자산,기타금융자산,자산총계,유동부채,매입채무,단기차입금,유동성장기부채,기타금융부채,기타유동부채,당기법인세부채,유동리스부채,비유동부채,사채,장기차입금,순확정급여부채,비유동리스부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,보통주자본금,자본잉여금,주식발행초과금,기타포괄손익누계액,해외사업환산손실,이익잉여금(결손금),기타자본항목,자기주식,주식선택권,기타자본잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,125784277383.0,18643742707.0,1788314188.0,4129501108.0,1481215716.0,1031919233.0,98709584431.0,53038305485.0,1368537156.0,,46895201715.0,2742046475.0,1753749680.0,278770459.0,178822582868.0,31106297995.0,1509021599.0,21800000000.0,1700000000.0,2663175432.0,1692459841.0,502161904.0,1239479219.0,22693372943.0,,20350000000.0,2094059750.0,249313193.0,53799670938.0,123401488495.0,3698800000.0,3698800000.0,31981153120.0,31981153120.0,34563365.0,-34563365.0,91403469095.0,-3716497085.0,3442081005.0,109228344.0,-383644424.0,1621423435.0,125022911930.0,178822582868.0,서플러스글로벌
20181231,141258375128.0,13515833398.0,3548255626.0,11036282176.0,994012529.0,3429826833.0,108734164566.0,41539345158.0,1560000000.0,,35653530637.0,2845092428.0,1077585263.0,403136830.0,182797720286.0,48199877895.0,1228669990.0,24200000000.0,6250000000.0,2126022665.0,11263928429.0,3131256811.0,,9220716325.0,,7450000000.0,1770716325.0,,57420594220.0,123248610555.0,3698800000.0,3698800000.0,31981153120.0,31981153120.0,-64472731.0,64472731.0,91399395604.0,-3766265438.0,3442081005.0,80783995.0,-404968428.0,2128515511.0,125377126066.0,182797720286.0,서플러스글로벌
20171231,119227172382.0,9697807390.0,1733682669.0,,10727232968.0,18914077252.0,78154372103.0,36056135633.0,,1725130000.0,29793416437.0,3040243925.0,1136162304.0,361182967.0,155283308015.0,32163781388.0,1125737745.0,18086000000.0,,1961626904.0,7217248483.0,3773168256.0,,13064639277.0,5000000000.0,6500000000.0,1564639277.0,,45228420665.0,108062732125.0,1849400000.0,1849400000.0,33830553120.0,33830553120.0,-90933105.0,90933105.0,72878680538.0,-404968428.0,,,-404968428.0,1992155225.0,110054887350.0,155283308015.0,서플러스글로벌
