date,유동자산,현금및현금성자산,단기금융상품,매출채권 및 기타유동채권,유동 당기손익-공정가치측정 금융자산,기타유동금융자산,재고자산,당기법인세자산,기타유동자산,비유동자산,투자부동산,유형자산,무형자산,사용권자산,장기금융상품,장기매출채권 및 기타비유동채권,비유동매도가능금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,기타비유동금융자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타유동채무,기타유동금융부채,기타유동부채,유동리스부채,비유동부채,사채,기타비유동금융부채,비유동리스부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,49795760925.0,21120485362.0,1000000000.0,12057713967.0,6500000000.0,3440799887.0,3370385666.0,26060240.0,2280315803.0,55107684418.0,516606245.0,1125972420.0,566478200.0,113655385.0,4892800.0,0.0,,52557463668.0,222615700.0,0.0,104903445343.0,7994532124.0,6908557574.0,985389092.0,13602000.0,86983458.0,31524922953.0,31475390928.0,20000000.0,29532025.0,39519455077.0,65383990266.0,69919749600.0,17741330693.0,4340416744.0,-17226213296.0,-9391293475.0,0.0,65383990266.0,104903445343.0,이트론
20181231,15984160654.0,8077794335.0,2500000000.0,3027127041.0,0.0,1475681724.0,470952883.0,65869680.0,366734991.0,31044550794.0,525540617.0,1135005707.0,354500870.0,0.0,4892800.0,542756500.0,27636464398.0,0.0,239356700.0,606033202.0,47028711448.0,2387066279.0,2124161975.0,79904304.0,183000000.0,0.0,20000000.0,,20000000.0,0.0,2407066279.0,44621645169.0,47989925200.0,14785800417.0,888062494.0,-12808212731.0,-6233930211.0,0.0,44621645169.0,47028711448.0,이트론
20171231,47790465110.0,33604227634.0,3050000000.0,7813122220.0,0.0,2024724925.0,760944531.0,501818650.0,35627150.0,5318644319.0,534474989.0,1195971474.0,2386051500.0,0.0,4892800.0,0.0,420246474.0,0.0,189636700.0,587370382.0,53109109429.0,4367107318.0,4334382548.0,32724770.0,0.0,,16000000.0,,16000000.0,,4383107318.0,48726002111.0,36271175200.0,13430517658.0,888062494.0,0.0,-1863753241.0,0.0,48726002111.0,53109109429.0,이트론
