date,유동자산,현금및현금성자산,유동금융자산,매출채권,계약자산,기타채권,재고자산,파생상품자산,기타유동자산,비유동자산,비유동금융자산,관계기업투자주식,유형자산,무형자산,기타채권,이연법인세자산,계약자산,자산총계,유동부채,매입채무,미지급금,미지급비용,미지급법인세,하자보수충당부채,파생상품부채,기타유동부채,계약부채,비유동부채,장기미지급금,확정급여부채,기타비유동부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,기타납입자본,기타자본항목,이익잉여금(결손금),자본총계,자본과부채총계,company
20191231,92029539829.0,13044839142.0,61976521300.0,2246612492.0,12222130528.0,548626107.0,1572209750.0,0.0,418600510.0,57680932392.0,3322440100.0,8252027040.0,17769198571.0,1218188865.0,669641552.0,2480704329.0,23968731935.0,149710472221.0,15801368876.0,1786900826.0,4251649557.0,3062791973.0,518687102.0,5663025843.0,0.0,223400930.0,294912645.0,1207285416.0,494577963.0,626588590.0,67333206.0,18785657.0,17008654292.0,132701817929.0,6057355500.0,39894769390.0,2878952219.0,83870740820.0,132701817929.0,149710472221.0,비아트론
20181231,125242523702.0,5349382286.0,82369679827.0,3242709908.0,23220778503.0,833173254.0,8517080162.0,0.0,1709719762.0,29830204368.0,3090091500.0,4711650851.0,18139785903.0,1242009131.0,655688207.0,1990978776.0,0.0,155072728070.0,24621738178.0,5801561537.0,4063927993.0,4248367013.0,4370550894.0,5123823149.0,298300406.0,119103498.0,596103688.0,1198281292.0,433163263.0,765118029.0,0.0,0.0,25820019470.0,129252708600.0,6057355500.0,39894769390.0,2875716311.0,80424867399.0,129252708600.0,155072728070.0,비아트론
20171231,113399274468.0,41676876041.0,21949439766.0,5763562608.0,38810004280.0,1114985591.0,62304141.0,36116616.0,3985985425.0,25764653147.0,2811067700.0,564295179.0,18616498528.0,704198307.0,905081419.0,2163512014.0,0.0,139163927615.0,29672556492.0,15832166896.0,994981518.0,4942244804.0,2765454262.0,3618208820.0,1418629052.0,100871140.0,0.0,1007858584.0,380639956.0,627218628.0,0.0,0.0,30680415076.0,108483512539.0,6057355500.0,39894769390.0,2923798813.0,59607588836.0,108483512539.0,139163927615.0,비아트론
