date,유동자산,현금및현금성자산,단기투자자산,매출채권,기타채권,선급금,선급비용,재고자산,비유동자산,장기투자자산,공정가치금융자산,유형자산,투자부동산,무형자산,이연법인세자산,기타비유동자산,자산총계,유동부채,매입채무,기타채무,기타유동부채,리스부채,계약부채,단기차입금,비유동부채,장기차입금,순확정급여부채,기타비유동부채,리스부채,이연법인세부채,부채총계,지배기업의 소유지분,자본금,자본잉여금,자본조정,기타포괄손익누계액,결손금,비지배주주지분,자본총계,자본과부채총계,company
20191231,41110784806.0,7696322070.0,22556188060.0,4190345316.0,219594850.0,1436273644.0,34656720.0,4977404146.0,19244051824.0,60134696.0,1310730157.0,9865027353.0,2752962715.0,2686832781.0,210012622.0,2358351500.0,60354836630.0,8342673794.0,3002193160.0,1544226910.0,90999890.0,292512695.0,6526820.0,3406214319.0,3202819965.0,1000000000.0,557729225.0,134766277.0,193470289.0,1316854174.0,11545493759.0,48809342871.0,22874577000.0,51481467809.0,856477187.0,-493216093.0,-25909963032.0,,48809342871.0,60354836630.0,SM Life Design
20181231,38276104048.0,3180270817.0,25932479660.0,2206443430.0,790440622.0,5672142803.0,168494104.0,325832612.0,18086469743.0,,1313230157.0,12281592380.0,1099266014.0,443228781.0,,2949152411.0,56362573791.0,4808920540.0,2710776112.0,1107301791.0,986426663.0,,4415974.0,,1267519223.0,,183371554.0,18005495.0,,1066142174.0,6076439763.0,50146513516.0,22455114000.0,50403812021.0,610875510.0,-493216093.0,-22830071922.0,139620512.0,50286134028.0,56362573791.0,SM Life Design
20171231,26091556521.0,4887415363.0,13144439314.0,2196650476.0,986517832.0,4482011305.0,147585904.0,246936327.0,19804073813.0,2362549885.0,,12311264319.0,1703889575.0,786642569.0,,2639727465.0,45895630334.0,2807413925.0,860066287.0,1334826057.0,605635636.0,,6885945.0,,1367544608.0,,387010737.0,70371697.0,,910162174.0,4174958533.0,41507483400.0,19513937500.0,43713874731.0,-432686836.0,89022122.0,-21376664117.0,213188401.0,41720671801.0,45895630334.0,SM Life Design
