date,유동자산,현금및현금성자산,매출채권,재고자산,기타금융자산,기타유동자산,당기법인세자산,비유동자산,기타금융자산,유형자산,무형자산,기타비유동자산,이연법인세자산,사용권자산,자산총계,유동부채,매입채무,기타금융부채,기타유동부채,당기법인세부채,단기차입금,유동성장기부채,유동리스부채,비유동부채,장기차입금,기타금융부채,기타비유동부채,이연법인세부채,비유동리스부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본항목,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,27992197545.0,3410724902.0,4796095477.0,15350369034.0,2921102982.0,1502389020.0,11516130.0,16451315179.0,773276807.0,14490056396.0,493368456.0,41837820.0,,652775700.0,44443512724.0,8651062378.0,5333074745.0,894716218.0,1223601765.0,163627183.0,720000000.0,,316042467.0,2994146152.0,,2265806200.0,13029060.0,399607631.0,315703261.0,11645208530.0,28241000698.0,3727245000.0,9576187415.0,848953794.0,14088614489.0,4557303496.0,32798304194.0,44443512724.0,대한과학
20181231,25053652139.0,2838330496.0,5046219413.0,13901452491.0,2194911690.0,1063407049.0,9331000.0,13981165805.0,807972224.0,12520998959.0,523046987.0,,129147635.0,,39034817944.0,7482411826.0,4898651458.0,865774484.0,1105927497.0,380338387.0,140000000.0,91720000.0,,2136719172.0,,2136719172.0,,,,9619130998.0,25646485999.0,3727245000.0,9576187415.0,-954411467.0,13297465051.0,3769200947.0,29415686946.0,39034817944.0,대한과학
20171231,23232324900.0,1359484532.0,5588145457.0,13815929538.0,1736703628.0,732061745.0,,13663331284.0,840739916.0,12052358189.0,669232794.0,,101000385.0,,36895656184.0,8699167336.0,4796013343.0,987112882.0,1356405172.0,254095939.0,,1305540000.0,,2167939172.0,91720000.0,2076219172.0,,,,10867106508.0,24004895267.0,3578140500.0,8060845111.0,466892175.0,11899017481.0,2023654409.0,26028549676.0,36895656184.0,대한과학
