date,유동자산,현금및현금성자산,단기금융상품,유동만기보유금융자산,상각후원가 채무증권,매출채권,재고자산,단기미청구공사,단기미수금,단기미수수익,단기선급금,단기선급비용,단기대여금,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,당기법인세자산,선납관세,비유동자산,유형자산,무형자산,투자부동산,비유동매도가능금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,비유동 당기손익-공정가치 측정 지정 금융자산,비유동만기보유금융자산,비유동 상각후원가 측정 금융자산,장기금융상품,관계기업에 대한 투자자산,장기임차보증금,장기미수금,장기미수수익,장기대여금,이연법인세자산,자산총계,유동부채,단기매입채무,단기초과청구공사,단기미지급금,단기선수금,단기예수금,단기임대보증금,단기미지급비용,단기차입금,유동성장기차입금,유동공사손실충당부채,당기법인세부채,유동하자보수충당부채,유동배출부채,유동리스부채,유동파생상품부채,매각예정으로 분류된 처분자산집단에 포함된 부채,비유동부채,장기차입금,퇴직급여부채,비유동하자보수충당부채,장기미지급금,비유동리스부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),매각예정자산과 관련하여 자본으로 직접 인식된 금액,비지배지분,자본총계,자본과부채총계,company
20191231,376552375601.0,35582600878.0,37938865662.0,,3028995241.0,115157947549.0,165710722262.0,594323412.0,6005589922.0,205944324.0,8812124545.0,1103403345.0,616941600.0,,135515301.0,1659401560.0,376360442696.0,300096927480.0,2607459858.0,33993588660.0,,2584464977.0,4730806030.0,,,368448400.0,27359430933.0,1566671452.0,,,1900000000.0,1152644906.0,752912818297.0,170872142682.0,57420594232.0,14674350014.0,14791112607.0,3435320624.0,1075026860.0,746374800.0,3244416920.0,60414259470.0,8133333326.0,94591353.0,6234538592.0,365483443.0,,213291952.0,29448489.0,,52208907821.0,8466666696.0,3091919722.0,482250563.0,,212331611.0,39955739229.0,223081050503.0,382628434873.0,54244482000.0,182263044381.0,-12989871689.0,1611514632.0,157499265549.0,,147203332921.0,529831767794.0,752912818297.0,동국산업
20181231,363994064871.0,28901875732.0,36933521156.0,,76090000.0,121601154463.0,161967079306.0,292821614.0,6567215192.0,189371679.0,3167389329.0,1478818150.0,578434998.0,156283244.0,420715077.0,1663294931.0,417601284172.0,321226819169.0,3033792549.0,32837011205.0,,2596028757.0,4617770010.0,,3045796295.0,920855806.0,27096777835.0,896815900.0,15059638840.0,3505343678.0,500000000.0,2264634128.0,781595349043.0,190866542124.0,64238489042.0,3289211626.0,8807478961.0,1626845912.0,1046120785.0,616772280.0,3331724199.0,83710367397.0,16133333326.0,163589461.0,7441137621.0,,88975000.0,,372496514.0,,69629083714.0,21810000022.0,2023490601.0,4104376068.0,5758215000.0,,35933002023.0,260495625838.0,375892779938.0,54244482000.0,182263044381.0,-12989871689.0,1545521074.0,151048636372.0,-219032200.0,145206943267.0,521099723205.0,781595349043.0,동국산업
20171231,404347381255.0,51447302321.0,60048356310.0,5194231424.0,,106395470039.0,156178774077.0,201509620.0,6525535614.0,574382786.0,5346599244.0,606798250.0,702700000.0,9201815668.0,140633404.0,1783272498.0,422679597694.0,330194143337.0,3110062136.0,32896697623.0,5616235210.0,,,101390000.0,,691355037.0,25394838725.0,1133012561.0,15059744400.0,3128852708.0,500000000.0,4853265957.0,827026978949.0,223106224367.0,69725856178.0,6903214243.0,10704713231.0,10650783868.0,1358879636.0,697427480.0,3692691201.0,77169926748.0,30344999997.0,92987965.0,2679185281.0,,,,33549650.0,9052008889.0,78933505836.0,26030000013.0,4222595520.0,6447953973.0,5535173863.0,,36697782467.0,302039730203.0,370006894228.0,54244482000.0,182263044381.0,-12989871689.0,1625722387.0,145062534917.0,-199017768.0,154980354518.0,524987248746.0,827026978949.0,동국산업
