date,유동자산,현금및현금성자산,단기금융상품,기타유동금융자산,유동 기타포괄손익-공정가치 측정 금융자산,매출채권 및 기타유동채권,기타유동자산,재고자산,당기법인세자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,비유동자산,장기금융상품,비유동매도가능금융자산,비유동 당기손익-공정가치 의무 측정 금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,유형자산,사용권자산,영업권 이외의 무형자산,장기매출채권 및 기타비유동채권,기타비유동자산,이연법인세자산,기타비유동금융자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입금,유동성장기차입금,유동성전환사채,유동리스부채,당기법인세부채,기타유동부채,비유동부채,장기매입채무 및 기타비유동채무,비유동리스부채,전환사채,기타비유동부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,65564770182.0,13951736883.0,13427093842.0,,187500000.0,28610719905.0,668303377.0,8556851910.0,162564265.0,,52382608727.0,977501520.0,,9795287524.0,,23682158265.0,13352929791.0,1491103606.0,1275398203.0,,1808229818.0,,117947378909.0,24061944253.0,13242192948.0,5000000000.0,,2650000000.0,755305766.0,207866086.0,2206579453.0,11183153676.0,7106492.0,11176047184.0,,,35245097929.0,82574512987.0,6981754500.0,12524680482.0,-4528768320.0,-1412117104.0,69008963429.0,127767993.0,82702280980.0,117947378909.0,파커스
20181231,81861160795.0,15686289108.0,29667456233.0,,5823115163.0,17859106025.0,1651374378.0,11084600428.0,89219460.0,,38264621324.0,669584153.0,,11592233522.0,500000000.0,19680949872.0,,1491103606.0,1141848203.0,1782304519.0,1406597449.0,,120125782119.0,26523588302.0,9908484019.0,,,13638760320.0,,251021266.0,2725322697.0,,,,,,26523588302.0,93245260238.0,6981754500.0,15063649154.0,-4528768320.0,-820243726.0,76548868630.0,356933579.0,93602193817.0,120125782119.0,파커스
20171231,91191698208.0,22993576259.0,22316800750.0,3112009104.0,,21072014293.0,881840787.0,11721845235.0,65801370.0,9027810410.0,27695220107.0,511004826.0,2895100000.0,,,20810367897.0,,1514698788.0,760919203.0,,1203129393.0,,118886918315.0,16341066455.0,12717217047.0,,500000000.0,,,,3123849408.0,13196703353.0,,,12996703353.0,200000000.0,29537769808.0,88844835533.0,6932250000.0,14736540583.0,-4528768320.0,-304025150.0,72008838420.0,504312974.0,89349148507.0,118886918315.0,파커스
