date,유동자산,현금및현금성자산,매출채권 및 기타유동채권,기타유동금융자산,당기법인세자산,재고자산,기타유동자산,비유동자산,장기매출채권 및 기타비유동채권,기타비유동금융자산,관계기업투자,유형자산,영업권 이외의 무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입금,유동성사채,유동성장기차입금,당기법인세부채,기타유동금융부채,기타유동부채,비유동부채,장기차입금,사채,기타비유동금융부채,퇴직급여부채,장기종업원급여,이연법인세부채,기타비유동부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,168047918728.0,84944683386.0,34385502727.0,26760057699.0,492627691.0,18729353757.0,2735693468.0,236930259004.0,1680363208.0,3633957175.0,9106794146.0,209852814324.0,8155021623.0,115863439.0,4385445089.0,404978177732.0,107410052061.0,20188612912.0,47240408206.0,25014354979.0,4714831128.0,1405294289.0,2548484345.0,6298066202.0,128780730483.0,74188121549.0,11578000000.0,23300815443.0,13238319090.0,1595311265.0,3464343263.0,1415819873.0,236190782544.0,92540398920.0,15658301500.0,73884369535.0,-20823499179.0,-3558558284.0,27379785348.0,76246996268.0,168787395188.0,404978177732.0,미코
20181231,158247633185.0,97706333337.0,31402770080.0,9484026696.0,357584844.0,16589550965.0,2707367263.0,173806212593.0,1757479339.0,2021881765.0,7907851869.0,154848861414.0,5578637587.0,174422131.0,1517078488.0,332053845778.0,69065993508.0,15895391630.0,35683093903.0,0.0,6373789565.0,1580123299.0,1123732408.0,8409862703.0,114607225856.0,48485416263.0,33874710467.0,17712191651.0,12174844909.0,868182213.0,370608223.0,1121272130.0,183673219364.0,85180795834.0,15658301500.0,73884369535.0,-20823499179.0,-4434909477.0,20896533455.0,63199830580.0,148380626414.0,332053845778.0,미코
20171231,91025782659.0,50463224810.0,25737497830.0,1090409156.0,0.0,11752402722.0,1982248141.0,111056594873.0,2004163439.0,2206919218.0,3487316139.0,96097870146.0,3405097964.0,621187614.0,3234040353.0,202082377532.0,57365398282.0,15122672452.0,20917452907.0,0.0,12272858391.0,3430614595.0,0.0,5621799937.0,27866521948.0,12470266805.0,0.0,15926361.0,14181176262.0,834661462.0,0.0,364491058.0,85231920230.0,63742016853.0,15658301500.0,65408144801.0,-20823499179.0,-3314915711.0,6813985442.0,53108440449.0,116850457302.0,202082377532.0,미코
