date,유동자산,현금및현금성자산,매출채권 및 기타채권,기타금융자산,재고자산,기타유동자산,비유동자산,유형자산,사용권자산,무형자산,장기매출채권 및 기타채권,기타장기금융자산,관계기업투자,이연법인세자산,기타비유동자산,자산총계,유동부채,매입채무 및 기타채무,단기차입금,유동성장기부채,기타금융부채,충당부채,유동리스부채,기타유동부채,당기법인세부채,비유동부채,장기매입채무 및 기타채무,장기차입금,비유동리스부채,이연법인세부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본항목,기타포괄손익누계액,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,245969680408.0,41338705868.0,64016859282.0,16244447259.0,113968672851.0,10400995148.0,135383887193.0,109997182686.0,1426925706.0,5132864695.0,4141668796.0,5076520114.0,1128170814.0,8369217379.0,111337003.0,381353567601.0,133192763056.0,51666673165.0,56908766443.0,11944348147.0,0.0,5015226176.0,868743945.0,6308805334.0,480199846.0,19334320341.0,1295789177.0,14564492027.0,419433598.0,3054605539.0,152527083397.0,223873880344.0,5192000000.0,37489613110.0,-2303973042.0,566956627.0,182929283649.0,4952603860.0,228826484204.0,381353567601.0,제우스
20181231,278686496227.0,30198255224.0,78109838503.0,37464684598.0,126490722951.0,6422994951.0,123692232353.0,100364467446.0,0.0,4933412701.0,3715331438.0,4694602043.0,876217879.0,8952333052.0,155867794.0,402378728580.0,165987856882.0,56653672378.0,54922547726.0,8583312399.0,3863526.0,7054368797.0,0.0,29564368082.0,9205723974.0,21778404416.0,2290864283.0,18412555795.0,0.0,1074984338.0,187766261298.0,210007004698.0,5192000000.0,37489613110.0,-2295313669.0,-2441540473.0,172062245730.0,4605462584.0,214612467282.0,402378728580.0,제우스
20171231,221688599323.0,21584931097.0,54840842708.0,46878212848.0,93419040406.0,4965572264.0,116230436008.0,92186828827.0,0.0,5905845337.0,6055854271.0,5138807823.0,0.0,6770170048.0,172929702.0,337919035331.0,131868038448.0,57775376915.0,32128886090.0,10260437554.0,32958394.0,4398338913.0,0.0,21417000644.0,5855039938.0,22328727438.0,3026749313.0,18317074215.0,0.0,984903910.0,154196765886.0,181249550698.0,5192000000.0,37489613110.0,-1447090685.0,-5535271501.0,145550299774.0,2472718747.0,183722269445.0,337919035331.0,제우스
