date,유동자산,현금및현금성자산,단기금융자산,매출채권,계약자산,기타금융자산,기타유동자산,재고자산,비유동자산,장기금융자산,기타포괄손익-공정가치 측정 금융자산,관계기업및공동기업,유형자산,무형자산,투자부동산,기타금융자산,기타비유동금융자산,이연법인세자산,자산총계,유동부채,매입채무,기타금융부채,단기금융부채,기타유동부채,계약부채,당기법인세부채,비유동부채,순확정급여부채,장기금융부채,손해배상충당부채,이연법인세부채,부채총계,지배기업의 소유지분,자본금,기타자본구성요소,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,365648151811.0,58779990828.0,27148882765.0,75525564612.0,74586940830.0,6389846580.0,24972396559.0,98244529637.0,153803739384.0,880000000.0,1455712319.0,43769155670.0,30696486272.0,5038075472.0,38609690465.0,7715529811.0,161373057.0,25477716318.0,519451891195.0,248041299823.0,74132422823.0,39326435485.0,15302387804.0,89356275417.0,25394517534.0,4529260760.0,132354194590.0,6028230472.0,3613635351.0,122712328767.0,0.0,380395494413.0,139000402078.0,7735000000.0,10844703824.0,120420698254.0,55994704.0,139056396782.0,519451891195.0,성도이엔지
20181231,359369383688.0,61934463127.0,33924512743.0,74998816207.0,67332488322.0,11965436156.0,16422382291.0,92791284842.0,96092605826.0,760000000.0,1220162569.0,38886008423.0,18885501306.0,5087922240.0,22620898888.0,5545687835.0,198820238.0,2887604327.0,455461989514.0,231964949385.0,71681669065.0,12707027634.0,19500000000.0,88796311346.0,35011441970.0,4268499370.0,22168184199.0,5779468688.0,3500000000.0,12888715511.0,0.0,254133133584.0,200092911748.0,7735000000.0,3703637135.0,188654274613.0,1235944182.0,201328855930.0,455461989514.0,성도이엔지
20171231,260055736713.0,30258727493.0,45900440166.0,108661899495.0,0.0,6312728138.0,3984651181.0,64937290240.0,68477834262.0,1023345700.0,1222606319.0,26662753609.0,20983927277.0,5733259696.0,7372820125.0,5358440280.0,120681256.0,0.0,328533570975.0,132425641289.0,53280962717.0,17672675816.0,25000000000.0,33221519229.0,0.0,3250483527.0,9130981716.0,3801295128.0,0.0,0.0,5329686588.0,141556623005.0,185679955041.0,7735000000.0,3366881672.0,174578073369.0,1296992929.0,186976947970.0,328533570975.0,성도이엔지
