date,유동자산,현금및현금성자산,유동 당기손익-공정가치 측정 지정 금융자산,유동만기보유금융자산,유동파생상품자산,매출채권 및 기타유동채권,기타유동금융자산,기타유동자산,재고자산,비유동자산,비유동매도가능금융자산,비유동만기보유금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,비유동파생상품자산,유형자산,영업권,영업권 이외의 무형자산,기타비유동금융자산,자산총계,유동부채,매입채무 및 기타유동채무,기타유동금융부채,기타유동부채,단기차입금,당기법인세부채,유동성장기차입금,비유동부채,장기차입금,퇴직급여부채,"장기 사후처리, 복구, 정화 비용을 위한 충당부채",이연법인세부채,비유동파생상품부채,기타비유동금융부채,기타비유동부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20191231,33118989958.0,21781949051.0,1530000000.0,0.0,109371343.0,8865238959.0,51527648.0,669172846.0,111730111.0,209744507575.0,0.0,0.0,293030200.0,91133024.0,202072963390.0,3256315898.0,160723292.0,3870341771.0,242863497533.0,58617545781.0,3338100842.0,5464771739.0,2890926042.0,23500000000.0,3959250130.0,19464497028.0,49482844825.0,41793690000.0,649700322.0,4247722614.0,2489061893.0,0.0,302669996.0,0.0,108100390606.0,134763106927.0,9099829500.0,23664179204.0,-97627754.0,102096725977.0,0.0,134763106927.0,242863497533.0,와이엔텍
20181231,22122490957.0,14333536034.0,0.0,0.0,109704219.0,7026042873.0,74151791.0,482401027.0,96655013.0,187009568594.0,0.0,0.0,289369000.0,0.0,179495672366.0,3256315898.0,160723292.0,3807488038.0,209132059551.0,41616114061.0,2759756691.0,3762132311.0,2531125837.0,19000000000.0,1568832138.0,11994267084.0,50934159503.0,44278537023.0,691359701.0,3622372907.0,2131266546.0,200623326.0,10000000.0,0.0,92550273564.0,116581785987.0,9099829500.0,23664179204.0,-100483490.0,83918260773.0,0.0,116581785987.0,209132059551.0,와이엔텍
20171231,17694788876.0,8454943901.0,0.0,20340000.0,0.0,8624934519.0,40737526.0,472678635.0,81154295.0,170576558054.0,281375600.0,58310000.0,0.0,0.0,162654491097.0,3256315898.0,160723292.0,4165342167.0,188271346930.0,35603057405.0,2650151064.0,3958642123.0,2548607026.0,17160300000.0,2480836460.0,6804520732.0,45114113627.0,38230005061.0,967382109.0,3814014916.0,2054042644.0,0.0,10000000.0,38668897.0,80717171032.0,107554175898.0,8921401500.0,23664179204.0,-101182682.0,75069777876.0,0.0,107554175898.0,188271346930.0,와이엔텍
