date,유동자산,현금및현금성자산,금융기관예치금,당기손익인식금융자산,매출채권 및 기타유동채권,계약자산,기타수취채권,기타유동자산,재고자산,비유동자산,기타수취채권,비유동계약자산,유형자산,사용권자산,투자부동산,무형자산,기타자산,이연법인세자산,자산총계,유동부채,단기매입채무,계약부채,기타지급채무,유동리스부채,단기차입금,당기법인세부채,유동충당부채,기타유동부채,비유동부채,장기차입금,기타지급채무,비유동리스부채,확정급여채무의현재가치,비유동충당부채,장기매입채무 및 기타비유동채무,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,주식발행초과금,기타포괄손익누계액,이익잉여금(결손금),기타자본구성요소,비지배지분,자본총계,자본과부채총계,company
20191231,252429049428.0,30046317757.0,0.0,0.0,43158810255.0,31787346695.0,923241822.0,12379056668.0,134134276231.0,168536825046.0,4419496220.0,39151856704.0,86679283769.0,5283408692.0,12903822363.0,6823275070.0,40973817.0,13234708411.0,420965874474.0,286807571145.0,80609784110.0,48408667971.0,18357622669.0,2735326150.0,127198586540.0,2948812371.0,6139594337.0,409176997.0,20035407010.0,8888800000.0,2539474255.0,2234502884.0,1304546229.0,5068083642.0,,306842978155.0,114122896319.0,7640710500.0,63674627018.0,-19142693.0,45315933494.0,-2489232000.0,0.0,114122896319.0,420965874474.0,AP시스템
20181231,284424737407.0,34483470660.0,244140000.0,8927133719.0,20491871326.0,66914054718.0,5082504830.0,6447921212.0,141833640942.0,136562205439.0,621577673.0,,108004119687.0,,,15416502075.0,111374624.0,12408631380.0,420986942846.0,291103024173.0,106227160234.0,16787425024.0,13427643012.0,,146133338808.0,5804720119.0,1830363703.0,892373273.0,23468789384.0,14833200000.0,3416804002.0,,13173201.0,5205612181.0,,314571813557.0,106415129289.0,7640710500.0,62981790759.0,-61760295.0,38343620325.0,-2489232000.0,0.0,106415129289.0,420986942846.0,AP시스템
20171231,324465331530.0,62725994781.0,30581123361.0,3738927021.0,161229477568.0,0.0,5236033064.0,8514134864.0,52439640871.0,143565388740.0,758243350.0,,109560588091.0,,,23932347564.0,0.0,9314209735.0,468030720270.0,342537437568.0,124188931730.0,0.0,11225526379.0,,126556631842.0,2845499890.0,7064700522.0,70656147205.0,36003942573.0,22277600000.0,4188303098.0,,1860171628.0,7677867847.0,,378541380141.0,89489340129.0,7640710500.0,62563599606.0,-140632.0,19285170655.0,0.0,0.0,89489340129.0,468030720270.0,AP시스템
