date,유동자산,현금및현금성자산,매출채권,단기금융상품,기타수취채권,재고자산,기타유동자산,비유동자산,장기금융상품,매도가능금융자산,당기손익-공정가치 측정 금융자산,기타포괄손익-공정가치 측정 금융자산,기타수취채권,유형자산,무형자산,투자부동산,기타비유동자산,비유동이연법인세자산,자산총계,유동부채,매입채무 및 기타지급채무,단기차입금,유동성장기부채,당기법인세부채,기타유동부채,비유동부채,기타지급채무,장기차입금,이연법인세부채,순확정급여부채,부채총계,지배기업 소유주 지분,자본금,자본잉여금,기타자본구성요소,이익잉여금,비지배지분,자본총계,부채와자본총계,company
20191231,49891210793.0,18229955781.0,12252096955.0,27635530.0,55048447.0,15737703234.0,3588770846.0,40188572674.0,25689372.0,0.0,5309054822.0,0.0,98044256.0,23189599883.0,571528683.0,9188943337.0,13033096.0,1792679225.0,90079783467.0,15848768275.0,5101398879.0,9930000000.0,0.0,664650954.0,152718442.0,1050824587.0,657411598.0,0.0,0.0,393412989.0,16899592862.0,73180190605.0,8177400000.0,8588242372.0,2015117088.0,54399431145.0,0.0,73180190605.0,90079783467.0,HRS
20181231,60780825840.0,10935438088.0,14166042155.0,63922448.0,152497702.0,31935914239.0,3527011208.0,42971758563.0,5399646.0,0.0,6671078562.0,781000000.0,188019240.0,23989311798.0,559790068.0,9235237629.0,19576425.0,1522345195.0,103752584403.0,25335505162.0,5376998611.0,7600000000.0,12000000000.0,166310275.0,192196276.0,6852644290.0,503330671.0,6000000000.0,0.0,349313619.0,32188149452.0,71564434951.0,8177400000.0,8588242372.0,2180347079.0,52618445500.0,0.0,71564434951.0,103752584403.0,HRS
20171231,59868630421.0,17444424836.0,14239158734.0,0.0,48449204.0,13671925903.0,14464671744.0,43209627079.0,48331755.0,1339756143.0,0.0,0.0,285347870.0,24960965006.0,703572376.0,10086850770.0,5784803159.0,0.0,103078257500.0,8362479990.0,5531603643.0,0.0,1624000000.0,1047236549.0,159639798.0,14279111686.0,489102502.0,12000000000.0,1574603829.0,215405355.0,22641591676.0,80436665824.0,8177400000.0,8588242372.0,2068310947.0,61602712505.0,0.0,80436665824.0,103078257500.0,HRS
