date,유동자산,현금및현금성자산,단기금융상품,매출채권,기타수취채권,기타유동자산,재고자산,비유동자산,장기금융상품,장기성기타수취채권,유형자산,무형자산,기타비유동자산,이연법인세자산,자산총계,유동부채,매입채무,기타유동부채,기타금융부채,단기차입금,유동성장기부채,연차충당부채,단기리스부채,당기법인세부채,비유동부채,장기기타금융부채,전환사채,장기리스부채,부채총계,지배기업지분,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금,비지배지분,자본총계,자본과부채총계,company
20191231,26639404526.0,4464705449.0,9206000000.0,9520810588.0,92553769.0,668805699.0,2686529021.0,11879363266.0,137653374.0,126863835.0,11086097602.0,445400.0,134011202.0,394291853.0,38518767792.0,8585611619.0,3586415514.0,358396421.0,768520731.0,3399649923.0,0.0,0.0,162352423.0,310276607.0,272187712.0,56000000.0,0.0,216187712.0,8857799331.0,29660968461.0,1867142800.0,10600562774.0,-774763489.0,4100666.0,17963925710.0,0.0,29660968461.0,38518767792.0,미래생명자원
20181231,22373898061.0,2081217757.0,8761000000.0,7298259229.0,107446337.0,745390905.0,3380583833.0,11711241591.0,90065762.0,269292533.0,10752860799.0,0.0,325605344.0,273417153.0,34085139652.0,5606623558.0,1184923483.0,238249516.0,410719934.0,3666887217.0,0.0,0.0,0.0,105843408.0,56000000.0,56000000.0,0.0,0.0,5662623558.0,28422516094.0,1867142800.0,10396347945.0,-774763489.0,-375543.0,16934164381.0,0.0,28422516094.0,34085139652.0,미래생명자원
20171231,24849220438.0,15195740013.0,715391250.0,5291766072.0,138373671.0,539736007.0,2968213425.0,6111107226.0,37192361.0,276114183.0,5425473267.0,0.0,0.0,372327415.0,30960327664.0,4809936177.0,1560205131.0,199691637.0,322952305.0,2103183699.0,500000000.0,23703130.0,0.0,100200275.0,1486756684.0,32000000.0,1454756684.0,0.0,6296692861.0,24663634803.0,1710142800.0,8747707998.0,-938138239.0,-13775190.0,15157697434.0,0.0,24663634803.0,30960327664.0,미래생명자원
