"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00599887_udf_CF_2018329132227625_CashFlowsFromUsedInFinancingActivities,유상증자,-,현금흐름표 [abstract],재무활동현금흐름,유상증자,,19200649309.0,31522715478.0,16002809517.0
entity00599887_udf_CF_20171113101539377_CashFlowsFromUsedInFinancingActivities,수입보증금의 증가,Increase in import guarantee money,현금흐름표 [abstract],재무활동현금흐름,수입보증금의 증가,300000.0,8700000.0,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,37274911000.0,35532086000.0,72048936830.0,
entity00599887_udf_CF_20171113101652485_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayments of current portion of long-term borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,37599999998.0,38938150000.0,61910000000.0,57000000000.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,2259999998.0,3000000000.0,6500000000.0,
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 감소,182400000.0,,35420000.0,
dart_RepaymentsOfConvertibleBonds,전환사채의 감소,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 감소,150250000.0,,,
entity00599887_udf_CF_20171113101812701_StatementOfCashFlowsAbstract,연결실체의 변동,Change of consolidated entity,현금흐름표 [abstract],연결실체의 변동,,,,9216891.0,-110302406.0
ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],환율변동효과,,-410898355.0,97985651.0,-41893799.0,-4060000.0
ifrs_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,3415521808.0,3140850333.0,8291835846.0,1413351400.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,13877327912.0,10736477579.0,2444641733.0,1031290333.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,17292849720.0,13877327912.0,10736477579.0,2444641733.0
