date,유동자산,현금및현금성자산,매출채권 및 기타유동채권,유동 기타포괄손익-공정가치 측정 금융자산,유동파생상품자산,유동계약자산,기타유동자산,기타유동금융자산,재고자산,비유동자산,투자부동산,기타비유동금융자산,유형자산,영업권 이외의 무형자산,이연법인세자산,자산총계,유동부채,매입채무 및 기타유동채무,기타유동부채,유동계약부채,단기차입금,유동성사채,유동성장기차입금,유동충당부채,비유동부채,장기차입금,비유동금융부채,확정급여부채,비유동충당부채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,자본잉여금,기타자본구성요소,기타포괄손익누계액,이익잉여금(결손금),자본총계,자본과부채총계,company
20191231,38207439387.0,3450840920.0,11354382837.0,575050159.0,0.0,4645484443.0,414778259.0,2277787157.0,15489115612.0,28048764478.0,2863812891.0,75603400.0,22863317764.0,712021539.0,1534008884.0,66256203865.0,25743128061.0,3206398527.0,504847323.0,7477388800.0,4450000000.0,0.0,10000000000.0,104493411.0,2262922207.0,500000000.0,40000000.0,1399279201.0,323643006.0,28006050268.0,38250153597.0,3185000000.0,25961060020.0,-60000000.0,28321974.0,9135771603.0,38250153597.0,66256203865.0,명성티엔에스
20181231,36633281531.0,3452276708.0,3721119311.0,453287460.0,23280000.0,3762443316.0,1307049692.0,119000000.0,23794825044.0,28992256816.0,2881655168.0,565221318.0,23135217152.0,761246669.0,1648916509.0,65625538347.0,15691479461.0,5279741388.0,279574715.0,6399061158.0,1650000000.0,2000000000.0,0.0,83102200.0,12193096212.0,10500000000.0,40000000.0,1163633208.0,489463004.0,27884575673.0,37740962674.0,3185000000.0,25961060020.0,-60000000.0,16422573.0,8638480081.0,37740962674.0,65625538347.0,명성티엔에스
20171231,23052033719.0,318721504.0,20117537822.0,0.0,0.0,0.0,1905290283.0,119000000.0,591484110.0,22038362736.0,0.0,1253741612.0,19581827781.0,511633334.0,691160009.0,45090396455.0,17534218416.0,10314723909.0,2148320675.0,0.0,5050000000.0,0.0,0.0,21173832.0,13600218707.0,12000000000.0,0.0,814755332.0,785463375.0,31134437123.0,13955959332.0,2500000000.0,161292020.0,-60000000.0,1865721.0,11352801591.0,13955959332.0,45090396455.0,명성티엔에스
