date,유동자산,현금및현금성자산,매출채권 및 기타유동채권,단기금융상품,재고자산,당기법인세자산,기타유동자산,비유동자산,장기매출채권 및 기타비유동채권,매도가능금융자산,만기보유금융자산,장기금융상품,유형자산,무형자산,확정급여자산,자산총계,유동부채,매입채무 및 기타유동채무,당기법인세부채,기타유동금융부채,단기차입금,유동성장기부채,신주인수권부사채,비유동부채,장기매입채무 및 기타비유동채무,장기차입금,퇴직급여채무,이연법인세부채,사채,신주인수권부사채,부채총계,지배기업의 소유주에게 귀속되는 자본,자본금,기타자본구성요소,이익잉여금(결손금),비지배지분,자본총계,자본과부채총계,company
20111231,100969321003.0,12035225856.0,49725295614.0,594819285.0,37436698391.0,479333540.0,697948317.0,93237349601.0,1900049537.0,1145350000.0,30000000.0,1325833697.0,86732278113.0,941634393.0,1162203861.0,194206670604.0,113985044750.0,39110749325.0,0.0,214534105.0,65381697014.0,4450273324.0,4827790982.0,18941938040.0,1505381.0,14422938899.0,0.0,3517493760.0,1000000000.0,0.0,132926982790.0,61279687814.0,3396000000.0,25221425271.0,32662262543.0,0.0,61279687814.0,194206670604.0,금강제강
20101231,99806911954.0,3971038602.0,61178350458.0,841299167.0,33343253080.0,29764124.0,443206523.0,79674958512.0,2049270719.0,3500000000.0,0.0,989118310.0,72350000890.0,786568593.0,0.0,179481870466.0,85302556870.0,41074511130.0,0.0,502151289.0,36123644174.0,3092760000.0,4509490277.0,21967812170.0,21158163.0,11258930000.0,466706908.0,5711526822.0,0.0,4509490277.0,107270369040.0,72211501426.0,3396000000.0,25221425271.0,43594076155.0,0.0,72211501426.0,179481870466.0,금강제강
20091231,57435150864.0,4705984326.0,37786731906.0,0.0,14166765495.0,0.0,775669137.0,62706292761.0,309584589.0,0.0,0.0,769703297.0,60837682082.0,789322793.0,0.0,120141443625.0,50998611676.0,21023313155.0,1407214999.0,485818298.0,26867675224.0,1214590000.0,0.0,13894770203.0,0.0,7153160000.0,810812226.0,5930797977.0,0.0,0.0,64893381879.0,55248061746.0,2300000500.0,10677455543.0,42270605703.0,0.0,55248061746.0,120141443625.0,금강제강
