date,자산,Ⅰ.유동자산,(1)당좌자산,"현금및현금성자산(주4,13)","단기금융상품(주4,18)","만기보유증권(주6,13)","매출채권(주5,23)",대손충당금,미수금(주8),대손충당금,단기대여금,대손충당금,선급금,선급비용,보증금,선급공사원가,미수수익,대손충당금,유동성이연법인세자산(주27),(2)재고자산,상품,저장품,토건저장품,용지(주13),원재료,부재료,Ⅱ.비유동자산,(1)투자자산,장기금융상품(주4),"만기보유증권(주6,13)","매도가능증권(주6,13)",장기미수금(주8),대손충당금,장기대여금,대손충당금,"투자부동산(주9,10,13)",손상차손누계액,파생상품자산(주22),"(2)유형자산(주8,9,12,13)",토지,손상차손누계액,건물,손상차손누계액,감가상각누계액,구축물,감가상각누계액,기계장치,감가상각누계액,차량운반구,감가상각누계액,기타의유형자산,감가상각누계액,임목,건설중인자산,(3)무형자산(주11),기타의무형자산,(4)기타비유동자산,"보증금(주8,13)",장기선급비용,이연법인세자산(주27),자산총계,부채,Ⅰ.유동부채,"매입채무(주8,14)","미지급금(주8,14)","단기차입금(주13,14,16)","선수금(주8,23)",예수금,"미지급비용(주7,14)",선수수익,미지급법인세,미지급부가가치세,미지급배당금(주14),수입보증금(주14),임대보증금(주14),입회보증금,현재가치할인차금,유동성장기부채(주16),유동성사채(주15),금융보증부채(주20),하자보수충당부채(주20),"손해배상충당부채(주20,21)","공사손실충당부채(주20,23)","회생담보채무(주4,7,13,14,17,19)",현재가치할인차금,"회생채무(주4,7,13,14,17,19)",현재가치할인차금,Ⅱ.비유동부채,사채(주15),현재가치할인차금,장기차입금(주16),현재가치할인차금,"장기임대보증금(8,14)",현재가치할인차금,장기입회보증금,현재가치할인차금,시설관리선수금,장기수입보증금,선수수익,퇴직급여충당부채(주18),국민연금전환금,퇴직연금운용자산,"지급보증충당부채(주17,20,25)","회생담보채무(주4,7,13,14,17,19)",현재가치할인차금,"회생채무(주4,7,13,14,17,19)",현재가치할인차금,부채총계,자본,Ⅰ.지배기업지분,"(1)자본금(주1,24)",보통주자본금,(2)연결자본잉여금(주24),주식발행초과금,기타자본잉여금,감자차익,(3)연결자본조정(주25),출자전환채무,자기주식(주13),(4)연결기타포괄손익누계액(주29),해외사업환산이익,매도가능증권평가이익,(5)연결결손금(주26),법정적립금,임의적립금,미처리결손금,Ⅱ.비지배지분,자본총계,부채와자본총계,company
20111231,,899275604784.0,869273312412.0,94846526926.0,1458646000.0,942280000.0,553812315808.0,-20735181150.0,30755540696.0,-1312305196.0,176414385928.0,-17106183212.0,14658782570.0,2527487438.0,,16014950617.0,17597880634.0,-729096723.0,127282076.0,30002292372.0,12980504.0,268699483.0,5626707886.0,20883079670.0,3205666005.0,5158824.0,459437124278.0,171229638120.0,19000000.0,1538525000.0,28153087914.0,,,74600025537.0,,74311409216.0,-7503958305.0,111548758.0,264076061091.0,176626255653.0,,82182046808.0,,-25995341733.0,2499194361.0,-1995210242.0,5472502388.0,-5432391248.0,765958636.0,-524153906.0,7139937923.0,-6021855381.0,159915000.0,29199202832.0,67267968.0,67267968.0,24064157099.0,9890959110.0,1275943666.0,12897254323.0,1358712729062.0,,732349381669.0,414937835353.0,89960521543.0,128470755901.0,23594611885.0,5096493003.0,2608285878.0,1097310.0,229970345.0,5275849457.0,6330340.0,274791530.0,301760000.0,3534462136.0,-1097310.0,760000000.0,16981286800.0,12028578415.0,18913856357.0,345600000.0,9028392726.0,,,,,468779426232.0,43968704276.0,-2629159784.0,421199000000.0,-24660784620.0,9755909000.0,-313319294.0,9048945900.0,-2716435111.0,1830000.0,1258110000.0,3029754405.0,16935539289.0,-131782400.0,-5966885429.0,,,,,,1201128807901.0,,157583921161.0,107600000000.0,107600000000.0,75590915472.0,27225316000.0,48365599472.0,,-22230445101.0,,-22230445101.0,4654520399.0,371649438.0,4282870961.0,-8031069609.0,8600000000.0,20900000000.0,-37531069609.0,,157583921161.0,1358712729062.0,풍림산업
20101231,,771447482160.0,,39966982146.0,1565847390.0,729110000.0,,,,,,,,,,,,,,34818379461.0,,,,,,,417353670119.0,,19000000.0,2913785000.0,26606725767.0,,,,,138500485292.0,,514880653.0,145011246231.0,,,,,,,,,,,,,,,,7266846921.0,,1618828479.0,,,6957905009.0,1188801152279.0,,954388334556.0,,,,,,,,,,,,,,,,,7029606145.0,35278878780.0,345600000.0,,,,,,49263627950.0,,,,,,,,,,,,,,,,,,,,1003651962506.0,,,107600000000.0,,,,,,-22230445101.0,,-22230445101.0,,,,,,,,,185149189773.0,,풍림산업
20100101,,875186217415.0,,89130676370.0,2358646000.0,1940756480.0,,,,,,,,,,,,,,35314961520.0,,,,,,,394279663752.0,,19000000.0,1940756480.0,27774495130.0,,,,,126105466607.0,,,145670021028.0,,,,,,,,,,,,,,,,7030006156.0,,2951097014.0,,,,1269465881167.0,,506509390912.0,,,,,,,,,,,,,,,,,10609934527.0,25235166291.0,,,,,,,501712614735.0,,,,,,,,,,,,,,,,,,,,1008222005647.0,,,107600000000.0,,,,,,-22230445101.0,,-22230445101.0,,,,,,,,,261243875520.0,,풍림산업
20091231,,863493547657.0,828178586137.0,89130676370.0,2358646000.0,1940756480.0,508754650664.0,-7408311191.0,33903267376.0,-7408311191.0,155395521984.0,-7408311191.0,16373766967.0,4827301305.0,10635052883.0,10726523641.0,6178106724.0,-7408311191.0,12874141721.0,35314961520.0,23840108.0,344560493.0,9166233411.0,20883079670.0,4501505543.0,139967768.0,384209169643.0,109938972190.0,9500000.0,,,,-7408311191.0,74624501090.0,-7408311191.0,6388231364.0,-1023402249.0,,260876582970.0,179583812051.0,-1023402249.0,74625610045.0,-1023402249.0,-18772239411.0,2499194361.0,-18772239411.0,6190216546.0,-18772239411.0,1464275460.0,-18772239411.0,7018787901.0,-18772239411.0,159915000.0,27567801762.0,-53859910.0,142815071.0,13447474393.0,10635052883.0,2812421510.0,,1247702717300.0,,470743356204.0,213043976460.0,99907068375.0,47553819004.0,47997521199.0,3732770404.0,2335906411.0,,380460364.0,2364851522.0,9137940.0,61478210.0,290760000.0,6631062136.0,-188880660.0,4510000000.0,28282693719.0,,12872244787.0,,958486333.0,,-188880660.0,,-188880660.0,502019659874.0,103447566719.0,-188880660.0,363868000000.0,-188880660.0,10439117000.0,-188880660.0,10573859900.0,-188880660.0,17052563.0,736696000.0,,13754149507.0,-192702300.0,,,,-188880660.0,,-188880660.0,972763016078.0,,,107600000000.0,107600000000.0,75493114512.0,27225316000.0,48267798512.0,,-22230445101.0,,-22230445101.0,83378883978.0,-1239765619.0,,,8100000000.0,18900000000.0,,,274939701222.0,1247702717300.0,풍림산업
