date,company,자본총계,자산총계,부채총계,유동부채,유동자산,재고자산
20111231,금강제강,61279687814.0,194206670604.0,132926982790.0,113985044750.0,100969321003.0,37436698391.0
20101231,금강제강,72211501426.0,179481870466.0,107270369040.0,85302556870.0,99806911954.0,33343253080.0
20091231,금강제강,55248061746.0,120141443625.0,64893381879.0,50998611676.0,57435150864.0,14166765495.0
20111231,배명금속,95296464290.0,208619609146.0,113323144856.0,106984768096.0,120559651206.0,66618482419.0
20101231,배명금속,77745475250.0,179399062436.0,101653587186.0,95049265962.0,94315952312.0,55218399050.0
20091231,배명금속,82610217591.0,171171430848.0,88561213257.0,82158201786.0,89565588511.0,56707866704.0
20111231,풍림산업,152837431616.0,1374255960342.0,1221418528726.0,752955724323.0,919718310569.0,30002292372.0
20101231,풍림산업,185149189773.0,1188801152279.0,1003651962506.0,954388334556.0,771447482160.0,34818379461.0
20091231,풍림산업,261243875520.0,1269465881167.0,1008222005647.0,506509390912.0,875186217415.0,35314961520.0
