date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융원가,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),희석주당이익(손실),company
20191231,81471003135.0,65219478398.0,16251524737.0,27246144342.0,-10994619605.0,1441041868.0,17095213359.0,1494548673.0,3927876036.0,-29082118459.0,1272380858.0,-30354499317.0,3912925048.0,3912925048.0,,-26441574269.0,-16603518852.0,-13750980465.0,-12690593804.0,-13750980465.0,-346.0,-346.0,SGA
20181231,88885999419.0,72634426046.0,16251573373.0,24282861320.0,-8031287947.0,2622828609.0,8047785742.0,1162348214.0,2873895551.0,-15167792417.0,-826217372.0,-14341575045.0,-2916746217.0,-2916746217.0,,-17258321262.0,-4196501067.0,-10145073978.0,-5396329518.0,-11861991744.0,-45.0,-45.0,SGA
20171231,98081508741.0,73892502127.0,24189006614.0,28771563548.0,-4582556934.0,2067129500.0,12836487486.0,1406452512.0,3218290695.0,-17163753103.0,604696133.0,-17768449236.0,-1066605378.0,0.0,-1066605378.0,-18835054614.0,-17921824780.0,153375544.0,-19344461620.0,509407006.0,-210.0,-210.0,SGA
