date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융원가,법인세비용차감전순이익(손실),법인세비용,계속영업이익(손실),중단영업이익(손실),당기순이익(손실),기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),자산재평가손익(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이 세후재분류조정,매도가능금융자산평가손익(세후기타포괄손익),지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),계속영업기본주당이익(손실),중단영업기본주당이익(손실),company
20191231,41111222331.0,23476670189.0,17634552142.0,14232811773.0,3401740369.0,97856443.0,6732943819.0,3745957496.0,25331122121.0,-24818511632.0,110635800.0,-24929147432.0,,-24929147432.0,1661812279.0,2830383035.0,2904462533.0,-74079498.0,-1168570756.0,24371519.0,,-1144199237.0,-23267335153.0,-24929147432.0,,-23267335153.0,,-357.0,-357.0,,슈펙스비앤피
20181231,70689132653.0,58981663220.0,11707469433.0,26032225051.0,-14324755618.0,9364234018.0,1143497223.0,2508229132.0,13838681427.0,-17434471118.0,,-17434471118.0,,-17434471118.0,6261004336.0,5095495054.0,5145866908.0,-50371854.0,1165509282.0,-21310045.0,,1144199237.0,-11173466782.0,-13514815835.0,-3919655283.0,-7253811499.0,-3919655283.0,-311.0,-311.0,,슈펙스비앤피
20171231,96694384226.0,83867946528.0,12826437698.0,26736600498.0,-13910162800.0,283749699.0,4289456714.0,714963814.0,8096043572.0,-25296949573.0,-1604520550.0,-23692429023.0,-76384038.0,-23768813061.0,-160982960.0,-32657911.0,,-32657911.0,-128325049.0,-574484.0,-128899533.0,,-23929796021.0,-20040569389.0,-3728243672.0,-20201552349.0,-3728243672.0,-659.0,-657.0,-2.0,슈펙스비앤피
