,0
계약방법,54
공고기관,52
발주처,51
수요기관,49
입찰명,39
계약금액,36
원,36
계약명,36
낙찰업체,35
입찰마감일시,34
년,30
성석의료재단,25
계약,25
총액,24
계약기관,22
월,21
재단법,20
운영,19
일,17
의료법,17
주,16
수의계약,15
시,15
지난해,14
수,13
등,13
여수시노인전문요양병원,10
위탁,10
성석초,10
여수시,10
서울,10
부도,10
성석개발,10
소재,9
용역,9
대표,9
오송첨단의료산업진흥재단,8
대표이사,8
제한경쟁,8
외,8
지연,8
체결,8
주식회사,8
법인회생절차,8
진천성석,7
부,7
성석동,7
행복주택,7
협약,7
일반,7
회계,6
공사,6
전,6
공립병원,6
공구,6
사업,6
안정성,6
성석,6
여기,6
의료기,6
교,5
병원,5
조달청,5
제작,5
민간,5
것,5
수탁,5
위,5
동안,5
저해,5
구매,5
수행,5
말썽,5
한국국제보건의료재단,5
수근종합건설,5
곤란,5
회장,4
해당,4
소액,4
이사장,4
설치,4
재단,4
건설공사,4
코,4
입찰,4
의료장비,3
법인,3
블록,3
의료진,3
호,3
서울대학교병원,3
일반경쟁,3
삼성의료재단,3
부당해고,3
이상,3
국회의원,3
어려움,3
비롯한,3
서울특별시,3
견적입찰,3
전기,3
부산사회복지공동모금회,3
소규모업체,3
오후,3
김청룡,3
협성건설,3
의원,3
개,3
경기도의료원,3
차,3
정보통신공사,3
협상에의한계약,3
폐기물,3
기부금,3
소액수,3
경기도교육청,3
사실,2
당시,2
본원,2
긴급,2
이후,2
송,2
모친상,2
혐의,2
확대,2
입찰공고,2
가능,2
서울연구원,2
단계경쟁,2
수석전문위원,2
수사,2
농업기술실용화재단,2
붕괴위험지역,2
교체공사,2
대구경북첨단의료산업진흥재단,2
노인전문요양병원,2
시의원,2
단가계약,2
우태주,2
압류,2
한국의료분쟁조정중재원,2
되,2
발,2
권역,2
삼광의료재단,2
오거돈,2
성남시의료원,2
시청자미디어재단,2
콘텐츠,2
견적,2
성석초등학교,2
지역제한,2
오전,2
차관,2
경상남도마산의료원,2
급경사,2
상생정치연구원장,2
진천성석지구,2
관련,2
울산문화재단,2
중,2
대전경제통상진흥원,2
기획재정부,2
송하진,2
한영,2
송종호,2
확인,2
법,2
둔덕동,2
중소기업청장,2
계좌,2
부정,2
송영선,2
동작경희병원,2
언제,2
최종,2
가선거구,2
문봉간,2
상임부회장,2
부정등,2
장례식장,2
성석호,2
연계,2
통합의료진흥원,2
국회,2
제출,2
일원,2
지원,2
방식,2
송춘달,2
송언석,2
한국장학재단,2
경찰,2
때문,2
시작,2
국방위원회,2
응급의료지원,2
손종익,2
전달,2
서울지방세무사회,2
수목,2
마찬가지,2
한국연구재단,1
방과후학교,1
국민은행세이버스,1
증명서,1
아이원바이오,1
목창호,1
서산의료원,1
업체,1
도담도담장난감월드,1
성유리,1
노선,1
방수,1
냉난방,1
부산진구,1
부스터펌프,1
원가계산,1
지오영상,1
중장기,1
특혜,1
재해복구사업,1
재단법인김포시청소년육성재단,1
종합계획,1
손해배상,1
설계,1
건축협정,1
특단,1
수선용품,1
여수노인전문요양병원,1
온종합병원,1
낙찰,1
여수성심병원,1
노후관교체공사,1
장모상,1
최규옥,1
책,1
한국도자재단,1
공매,1
신화엔지니어링,1
여자프로농구,1
일반용역,1
전국연맹,1
백령면,1
개월,1
서울대학교,1
이지메디컴,1
케이티아이에스,1
남대학교의과대학연구장학재단,1
선두훈,1
극동가스상사,1
운영용역,1
서울대병원,1
재정비공사,1
천,1
한국보건의료연구원,1
백령,1
유지관리,1
내진성능평가용역,1
지역민,1
의료법인성석의료재단동작경희병원,1
재단법인,1
재단법인부산테크노파크,1
사태,1
동북아역사재,1
보건의료인력,1
신정택,1
별세,1
전정공사,1
한양도성,1
비,1
의료폐기물,1
향토,1
정상,1
스팀멸균기,1
서구의료재단,1
에스원,1
금융거래,1
박용덕,1
환경개선공사,1
한국수산자원관리공단,1
지방의료원,1
약학대학,1
장지,1
서울의료원,1
며,1
점,1
납품설치,1
박희용,1
전북지방조달청,1
이달,1
재단법인완주군인재육성재단,1
설계용역,1
입방아,1
연예,1
식수원개발사업,1
나우누리,1
위탁협약,1
대승전기,1
정보화,1
용배수,1
실사,1
자체,1
인천국민안전체험관,1
여,1
건립공사,1
서민,1
직원,1
전산감리용역,1
