,0
발주처,84
수요기관,78
계약방법,71
공고기관,51
계약기관,46
입찰마감일시,46
계약,46
입찰명,41
년,41
수의계약,40
여수시,34
낙찰업체,32
원,32
계약금액,30
계약명,29
서울,28
서구의료재단,25
전라남,24
서구,22
재단법,21
병원,20
여수성심병원,19
한국보훈복지의료공단,19
일,17
성심병원,15
의료법,15
총액,14
여수,14
남,13
입찰,12
중앙보훈병원,12
운영,11
주,11
주식회사,11
인천광역시,11
등,10
분당서울대학교병원,10
것,10
억원,9
용역,9
강동구,9
고양시,9
공고,8
강서구,8
휴업,8
전,7
의료기,7
수,7
월,7
이사장,7
성심이앤지,7
강서구보건소,6
외,6
전라남도여수교육지원청,6
제한경쟁,6
재공고,6
전라남도교육청,6
지역,6
대전광역시,6
저,6
관련,5
의료기기,5
한국보훈복지의료공단중앙보훈병원,5
성심의료재단강동성심병원,5
강북구,5
경기,5
동,5
대,5
박순용,5
설치공사,5
강북구보건소,5
사업,4
충주성심학교,4
의료법인성심의료재단,4
건물,4
오송첨단의료산업진흥재단,4
서울특별시,4
가톨릭대학교,4
차,4
의료소모품,4
의료계,4
의료법인한전의료재단한일병원,4
오배수관,4
교체공사,4
공사,4
홍익재활병원,4
종,4
서울대학교병원,4
대전보훈병원,4
선정,4
조달청,4
대구광역시,4
내,4
한국공항공사,4
성심종합병원,4
둔덕동,4
직원들,4
전산화단층촬영기,4
제출,4
경기도의료원,4
대구입,4
성심교정,4
일반,4
부산보훈병원,3
요양병원,3
인제대학교,3
경매,3
이날,3
시설보수,3
견적,3
어린이집,3
달서구,3
억,3
보호수,3
긴급,3
급식실,3
종합검진센터,3
건설사가,3
체육관,3
대양초,3
전기,3
대행,3
이천병원,3
매각,3
장례식장,3
소액수,3
일산서구,3
단,3
여수시노인전문요양병원,3
질병관리,3
일산서구청,3
광주지역,3
거명의료재단,3
설치,3
문,3
대구,3
개,3
위탁처리,3
경영,3
추진,3
규격가격동시,3
일산백병원,3
위탁,3
간호학원,3
유치원,3
의료폐기물,3
상하수도사업단,3
재단,3
두산엔지니어링,2
수의견적서,2
매점,2
공동구매,2
업체,2
전기공사,2
재단법인부산테크노파크,2
경로당,2
박,2
재단법인,2
강남구,2
부지,2
도계청소년장학센터,2
재단법인충북테크노파크,2
소유,2
전라선,2
기계산업동반성장진흥재단,2
상임대표,2
몫,2
직원,2
일각,2
사회복지법,2
발주,2
필기전형,2
노상적치물,2
부,2
광주,2
결과,2
여,2
여수시보건소,2
여수지사,2
옥상방수공사,2
납품업체,2
한림성심대학교교내,2
모니터링,2
생태하천복원사업,2
남대학교병원,2
지난해,2
사후관리,2
울산남부도서관,2
생각,2
호,2
해당,2
구로구보건소,2
꿈,2
기숙사,2
휴업중,2
피난계단,2
지,2
광주광역시,2
선린복지재단,2
임차용역,2
액화산소,2
행정정보시스템,2
중소기업,2
식당,2
이사회,2
의료영상정보시스템,2
