번호,회사명,종목코드,폐지일자,폐지사유,비고
1204,수젠텍,253840,2019-05-28,코스닥시장 이전상장,수젠텍
1203,영현무역,242850,2019-05-22,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限),
1202,알보젠코리아,002250,2019-05-20,지주회사(최대주주등)의 완전자회사화 등,
1201,트러스제7호,140890,2019-05-07,해산 사유 발생,
1200,에프티이앤이,065160,2019-05-03,감사의견 거절(감사범위 제한),
1199,지노믹트리,228760,2019-03-27,코스닥시장 이전상장,지노믹트리
1198,더블유게임즈,192080,2019-03-12,유가증권시장 상장,더블유게임즈
1197,제이에스피브이,250300,2019-03-04,지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限),
1196,원익테라세미콘,123100,2019-02-20,피흡수합병,
1195,우리은행,000030,2019-02-13,지주회사(최대주주등)의 완전자회사화 등,
1194,한국4호스팩,240540,2019-01-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1193,본느,242420,2018-10-29,피흡수합병,
1192,광주은행,192530,2018-10-26,지주회사(최대주주등)의 완전자회사화 등,
1191,동부제4호스팩,230490,2018-07-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1190,신텍,099660,2018-07-09,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,
1189,엔에이치스팩7호,217810,2018-01-19,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1188,미래에셋제3호스팩,215750,2018-01-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1187,미래자원엠엘,233190,2017-12-28,피흡수합병,
1186,대우스팩3호,215580,2017-12-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1185,SGA시스템즈,232290,2017-12-22,피흡수합병,
1184,아이이,023430,2017-12-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1183,캐로스,260490,2017-11-29,지정자문인 선임계약 해지 후 30일이내 미체결(2017.11.15限),
1182,비디아이,148140,2017-11-09,코스닥시장 이전상장,비디아이
1181,SK1호스팩,207930,2017-11-06,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1180,골든브릿지제2호스팩,206660,2017-10-20,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1179,세원,234100,2017-10-20,코스닥시장 이전상장,세원
1178,엔에이치SL스팩,207720,2017-10-16,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1177,한진피앤씨,061460,2017-09-29,피흡수합병,
1176,중국원양자원,900050,2017-09-27,감사의견 의견거절,
1175,세화피앤씨,085980,2017-09-19,피흡수합병,
1174,엔에스브이,095300,2017-09-12,"감사의견 거절(내부회계관리제도상의 취약점, 계속기업가정의 불확실성 및 재고자산 관련 감사범위 제한)",
1173,케이피에스,256940,2017-09-06,코스닥시장 이전상장,케이피에스
