번호,회사명,종목코드,폐지일자,폐지사유,비고
962,대우증권스팩,121910,2012-10-15,SPAC 상장예비심사청구서 미제출 등,
961,인스프리트,073130,2012-10-12,자본잠식률 50% 이상으로 관리종목 지정 이후 최근 반기의 재무제표에 대한 감사인의 감사의견거절 등,
960,웨스테이트,016140,2012-10-12,상장폐지신청('12.09.12),
959,SSCP,071660,2012-09-29,최종부도 발생,
958,유아이에너지,050050,2012-09-26,자본전액잠식,
957,성융광전투자,900150,2012-09-26,감사의견거절(감사범위 제한 및 계속기업존속능력 불확실성),
956,무한투자,034510,2012-09-25,시가총액 40억원 미달,
955,연합과기,900030,2012-09-14,감사의견 의견거절,
954,동양텔레콤,007150,2012-09-11,2회 연속 자본잠식률 50%이상,
953,어울림엘시스,033280,2012-09-11,2반기 연속 자본잠식률 50%이상,
952,어울림정보,038320,2012-09-08,2반기 연속 자본잠식률 50%이상,
951,엔케이바이오,019260,2012-09-05,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
950,배명금속,011800,2012-09-03,최종부도발생,
949,금강제강,105070,2012-08-14,최종부도 발생,
948,디에이치패션,045260,2012-08-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
947,한국저축은행,025610,2012-07-25,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
946,솔로몬저축은행,007800,2012-07-25,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
945,엔스퍼트,098400,2012-07-24,"기업의계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
944,그린손해보험,000470,2012-07-16,자본전액잠식,
943,한림창투,021060,2012-06-27,"기업의계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
942,대우송도개발,004550,2012-06-22,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
941,허메스홀딩스,012400,2012-06-12,감사의견 의견거절,
940,클루넷,067130,2012-06-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
939,케이비물산,008540,2012-06-08,감사의견 의견거절,
938,평안물산,037240,2012-06-01,감사의견거절(감사범위제한),
937,JH코오스,065310,2012-05-31,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
936,거북선4호,108890,2012-05-24,신청에 의한 상장폐지,
935,풍림산업,001310,2012-05-18,최종부도발생,
934,블루젬디앤씨,053040,2012-05-17,감사의견거절(감사범위 제한 및 계속기업존속 불확실성),
933,비앤비성원,015200,2012-05-01,감사의견거절(감사범위제한),
932,폴리플러스,065610,2012-05-01,감사의견거절(감사범위제한),
931,보광티에스,066690,2012-05-01,감사의견 거절(감사범위 제한 및 계속기업존속불확실성),
930,CT&T,050470,2012-05-01,감사 의견거절(감사범위 제한),
929,아인스M&M,040740,2012-05-01,감사의견거절(감사범위 제한 및 계속기업존속 불확실성),
928,에이프로테크놀로지,045470,2012-04-24,사업보고서 법정제출기한 익일부터 10일 이내 미제출 등,
927,에피밸리,068630,2012-04-24,사업보고서 법정제출기한 익일부터 10일 이내 미제출,
926,한국아태특별,098150,2012-04-23,해산 사유 발생,
925,코아에스앤아이,052350,2012-04-17,감사의견거절(감사범위 제한),
924,미주제강,002670,2012-04-17,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
923,케이알제2호,101790,2012-04-17,자본잠식(자본금의 50/100이상 잠식) 2년 계속,
922,미리넷,056710,2012-04-13,자본전액잠식,
921,미성포리테크,094700,2012-04-13,자본전액잠식,
920,엘앤씨피,015390,2012-04-13,감사의견거절(감사범위제한),
919,대국,042340,2012-04-13,최근3사업연도중2사업연도자기자본 50%초과법인세비용차감전손실발생,
918,평산,089480,2012-04-13,감사의견거절(감사범위제한),
917,아이스테이션,056010,2012-04-13,자본전액잠식 등,
916,시노펙스그린테크,037320,2012-03-19,피흡수합병,
915,거북선5호,114130,2012-03-02,신청에 의한 상장폐지,
914,거북선7호,134000,2012-03-02,신청에 의한 상장폐지,
913,거북선6호,114140,2012-03-02,신청에 의한 상장폐지,
912,씨티엘테크,088960,2012-02-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
911,한국유전15-1,093820,2012-02-01,해산 사유 발생,
910,엔하이테크,046720,2012-02-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
909,에이원마이크로,037380,2012-02-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
908,지앤디윈텍,061050,2012-01-20,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
907,에이스앤파트너스,032930,2012-01-18,피흡수합병,
906,코오롱아이넷,022520,2012-01-11,해산 사유 발생,
905,엘앤피아너스,061140,2011-12-28,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 결정",
904,그린기술투자,025340,2011-12-28,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
903,알덱스,025970,2011-12-20,피흡수합병,
902,디앤샵,090090,2011-12-15,피흡수합병,
901,더체인지,054120,2011-12-15,피흡수합병,
900,에스티씨라이프,026220,2011-11-29,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
899,코웰이홀딩스,900020,2011-11-26,상장폐지신청('11.10.27),
898,네스테크,037540,2011-11-26,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
897,맵스베트남1,094520,2011-11-24,신청에 의한 상장폐지,
896,아시아미디어홀딩스,052810,2011-11-22,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
895,네프로아이티,950030,2011-11-05,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
894,하나투어,039130,2011-11-01,유가증권시장 상장,하나투어
893,클라스타,037550,2011-10-26,"자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절",
892,대양글로벌,040180,2011-10-25,감사의견거절(감사범위 제한),
891,제일창투,026540,2011-10-14,감사의견거절(감사범위제한),
890,제일저축은행,024100,2011-10-14,자본전액잠식,
889,토자이홀딩스,037700,2011-10-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
888,선팩테크,054010,2011-10-06,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
887,에코페트로시스템,042870,2011-10-06,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
886,하이트맥주,103150,2011-09-26,해산 사유 발생,
885,큐앤에스,052880,2011-09-23,상장폐지사유 발생,
884,씨모텍,081090,2011-09-23,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성) 등,
883,히스토스템,036840,2011-09-15,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
882,동양매직,023020,2011-09-14,피흡수합병,
881,세계투어,047600,2011-09-09,자본잠식률 50% 이상으로 관리종목 지정 후 반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출,
880,케이에스알,066340,2011-09-09,자본잠식률 50% 이상으로 관리종목 지정 후 반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출,
879,에이블씨엔씨,078520,2011-09-07,유가증권시장 상장,에이블씨엔씨
878,에이스디지텍,036550,2011-08-22,피흡수합병,
877,이룸지엔지,050640,2011-08-20,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
876,코오롱아이넷,022520,2011-07-19,유가증권시장 상장,
875,현대DSF,016510,2011-07-18,해산 사유 발생,
874,글로웍스,034600,2011-06-29,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,
873,다산리츠,105380,2011-06-24,감사의견 의견거절,
872,에코솔루션,052510,2011-06-16,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
871,헤파호프,039350,2011-06-16,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
870,에듀패스,031950,2011-06-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
869,대구은행,005270,2011-06-07,지주회사의 완전자회사화(지주회사 신규상장),
868,캠브리지코오롱,004620,2011-05-17,해산 사유 발생,
867,훈영,017170,2011-05-13,감사의견 의견거절,
866,티엘씨레저,014590,2011-05-13,감사의견 의견거절,
865,콜마파마,038710,2011-05-07,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),
864,지노시스템,033850,2011-05-07,감사의견거절(감사범위제한),
863,나이스메탈,072530,2011-05-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
862,디패션,030420,2011-05-07,감사의견 부적정,
861,엔빅스,054170,2011-04-29,감사의견거절(감사범위 제한),
860,맥스브로,088810,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
859,뉴젠아이씨티,054150,2011-04-29,감사의견거절(감사범위제한),
858,넥서스투자,019430,2011-04-29,감사의견거절(감사범위제한),
857,유니텍전자,039040,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
856,세븐코스프,017160,2011-04-29,감사의견거절(감사범위제한 및 계속기업으로서의 존속능력에 대한 불확실성),
855,지앤알,043630,2011-04-29,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
854,오라바이오틱스,016160,2011-04-26,공시서류 미제출(사업보고서) 후 10일이내 미제출,
853,한와이어리스,037020,2011-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,
852,포휴먼,049690,2011-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,
851,알티전자,032290,2011-04-23,사업보고서 법정제출기한 익일부터 10일 이내 미제출,
850,제이콤,060750,2011-04-16,최종부도 발생,
849,봉신,005350,2011-04-15,자본전액잠식,
848,셀런,013240,2011-04-15,자본전액잠식,
847,대선조선,031990,2011-04-13,자본전액잠식 등,
846,중앙디자인,030030,2011-04-13,자본전액잠식,
845,스톰이앤에프,043680,2011-04-13,자본전액잠식 등,
844,엠엔에프씨,048640,2011-04-13,자본전액잠식 등,
843,경윤하이드로,019120,2011-04-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
842,부산은행,005280,2011-03-30,지주회사의 완전자회사화(지주회사 신규상장),
841,온미디어,045710,2011-03-22,해산 사유 발생,
840,엠넷미디어,056200,2011-03-22,씨제이이앤엠(주)에 피흡수합병,
839,CJ인터넷,037150,2011-03-22,씨제이이앤엠(주)에 피흡수합병,
838,핸디소프트,032380,2011-03-03,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
837,한국전기초자,009720,2011-02-16,신청에 의한 상장폐지,
836,에스브이에이치,046240,2011-02-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,
835,세실,084450,2011-02-10,감사의견거절(범위제한 및 계속기업 존속 불확실성),
834,아이피에스,051820,2011-01-14,피흡수합병,
833,네이쳐글로벌,088020,2011-01-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
832,지비베트남1,094950,2011-01-05,해산 사유 발생,
831,동북아8호,082110,2011-01-04,종목별 상장폐지신청,
830,코크렙7호,086720,2010-12-29,존속기간 만료,
829,동북아21호선박투자,088010,2010-12-28,존속기간 만료,
828,엠씨티티코어,052210,2010-12-04,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
827,거북선2호,101380,2010-12-03,신청에 의한 상장폐지,
826,거북선3호,102000,2010-12-03,신청에 의한 상장폐지,
825,이앤텍,047450,2010-11-30,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
824,동북아1호,078420,2010-11-29,신청에 의한 상장폐지,
823,태광이엔시,048140,2010-11-25,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
822,동부CNI,044640,2010-11-22,피흡수합병,
821,테스텍,048510,2010-11-10,최근 사업연도말 기준으로 자본잠식률 100분의 50 이상 및 자기자본 10억원 미만의 사유로 관리종목으로 지정된 후 최근 반기말 외부감사인의 감사보고서상 계속기업 존속능력에 대한 불확실성으로 인한 의견거절 발생,
820,하이드로젠파워,070080,2010-11-06,최종부도,
819,비케이탑스,030790,2010-11-02,유가증권시장 상장,비케이탑스
818,동북아6호,080410,2010-10-25,신청에 의한 상장폐지,
817,올리브나인,052970,2010-10-20,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
816,데코,013650,2010-10-19,피흡수합병,
815,골든경매일호,084160,2010-10-15,해산 사유 발생,
814,투미비티,058900,2010-10-12,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
813,브이에스에스티,035400,2010-10-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,
812,다휘,055250,2010-10-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
811,지오엠씨,033030,2010-09-25,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
810,인네트,041450,2010-09-14,최종부도 발생,
809,네오세미테크,089240,2010-09-03,감사의견거절(감사범위 제한),
808,퓨쳐인포넷,058690,2010-08-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,
807,쎄라텍,041550,2010-08-25,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
806,신세계톰보이,012580,2010-07-30,최종부도발생,
805,케드콤,011050,2010-07-22,감사의견 의견거절,
804,모라리소스,018890,2010-07-22,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
803,액티투오,047710,2010-07-21,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
802,무학,033920,2010-07-20,유가증권시장 상장,무학
801,메카포럼,035830,2010-07-16,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
800,현대푸드,114410,2010-07-16,해산 사유 발생,
799,나리지*온,036850,2010-07-14,피흡수합병,
798,한국고덴시,027840,2010-07-14,해산 사유 발생,
797,동북아15호,084240,2010-07-13,신청에 의한 상장폐지,
796,샤인시스템,066300,2010-06-29,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
795,에스디,066930,2010-06-29,상장폐지신청('10.06.01),
794,알이엔,023670,2010-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
793,선우중공업,068770,2010-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
792,케이씨오에너지,011400,2010-05-20,최종부도발생,
791,바이나믹,067850,2010-05-19,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,
790,현대금속,018410,2010-05-13,감사의견 의견거절,
789,태창기업,007490,2010-05-13,감사의견 의견거절,
788,쏠라엔텍,030390,2010-05-08,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
787,인젠,041630,2010-05-08,감사범위제한으로 인한 의견거절,
786,하이스마텍,057100,2010-05-08,감사의견거절(감사범위제한),
785,단성일렉트론,085990,2010-05-08,감사의견거절(감사범위제한),
784,엑스로드,074140,2010-05-08,감사범위제한으로 인한 의견거절,
783,오페스,053470,2010-05-08,감사범위제한으로 인한 감사의견 거절,
782,해원에스티,058480,2010-05-08,감사범위제한으로 인한 감사의견거절,
781,보홍,041320,2010-05-08,감사의견거절(감사범위제한),
780,이루넷,041030,2010-05-05,감사범위제한으로 인한 감사의견 거절,
779,지엔텍홀딩스,065410,2010-05-05,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
778,성원건설,012090,2010-05-03,감사의견 의견거절,
777,제로원인터랙티브,069470,2010-05-03,감사의견 의견거절,
776,유성티에스아이,024870,2010-05-03,감사의견 의견거절,
775,아구스,078670,2010-05-01,감사의견거절(감사범위제한 및 계속기업 존속 불확실),
774,에버리소스,020070,2010-05-01,감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절,
773,JS,037110,2010-05-01,감사의견거절(감사범위제한),
772,CL,035710,2010-05-01,감사범위제한으로 인한 감사의견거절,
771,신세계푸드,031440,2010-04-29,유가증권시장 상장,신세계푸드
770,테이크시스템,076090,2010-04-23,감사의견거절(감사범위제한),
769,폴켐,033190,2010-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,
768,포네이처,045290,2010-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,
767,고제,002540,2010-04-23,감사의견 의견거절,
766,메리츠종금,012420,2010-04-21,해산 사유 발생,
765,성우몰드,053440,2010-04-21,상장폐지신청('10.3.29),
764,에스피코프,048130,2010-04-20,최종부도 발생,
763,에이스일렉,038690,2010-04-17,감사의견거절(감사범위제한),
762,쌈지,033260,2010-04-17,최종부도 발생,
761,제넥셀,034660,2010-04-15,감사범위제한으로 인한 감사의견 거절,
760,쓰리디월드,065340,2010-04-15,감사의견거절(감사범위제한),
759,에이치비이에너지,017300,2010-04-15,자본전액잠식,
758,서광건설산업,001600,2010-04-15,자본전액잠식,
757,조인에너지,004820,2010-04-15,자본전액잠식,
756,삼성디지털이미징,108070,2010-04-14,해산 사유 발생,
755,중앙바이오텍,015170,2010-04-13,자본전액잠식,
754,일공공일안경,032030,2010-04-13,자본전액잠식,
753,유퍼트,060670,2010-04-13,자본전액잠식,
752,에듀아크,046350,2010-04-13,최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생,
751,대주코레스,008340,2010-04-13,자본전액잠식,
750,사이노젠,064060,2010-04-13,자본전액잠식,
749,모젬,079560,2010-04-13,최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생,
748,모보,051810,2010-04-13,최근 3사업연도 연속 자기자본 50%초과 법인세비용차감전 계속사업손실 등,
747,유티엑스,045880,2010-04-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,
746,스타맥스,017050,2010-04-05,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
745,GK파워,054020,2010-04-03,최종부도,
744,아이알디,084810,2010-04-01,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,
743,제너비오믹스,017010,2010-03-26,- 주된 영업이 정지되어 코스닥시장상장규정 제38조제2항제1호(삭제 ‘09.12.2)의 상장폐지기준 해당 / 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 코스닥시장상장규정 제38조제2항제5호라목(신설 ‘09.12.2)의 상장폐지기준 해당,
742,한국기술산업,008320,2010-03-11,감사의견 의견거절,
741,비전하이테크,015050,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
740,코어비트,056850,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
739,코디콤,041800,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
738,신지소프트,078700,2010-02-27,시가총액 40억원 미달,
737,동산진흥,031960,2010-02-20,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정",
736,티이씨,067950,2010-02-20,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,
735,이롬텍,045400,2010-02-11,"정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식",
734,글로포스트,037830,2010-02-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
733,디보스,080140,2010-02-02,자본잠식률 50%이상사유로 관리종목지정후 반기 감사의견 부적정,
732,비엔디,047940,2010-01-29,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,
731,굿라이프10-MF,037510,2010-01-26,자본시장과금융투자업에관한법률 제202조제1항에 의한 해산사유에 해당하는 경우,
730,동북아9호,083120,2010-01-20,신청에 의한 상장폐지,
729,제일화재해상보험,000610,2010-01-20,해산 사유 발생,
728,LG데이콤,015940,2010-01-15,해산 사유 발생,
727,LG파워콤,045820,2010-01-15,해산 사유 발생,
726,케너텍,062730,2009-12-23,회생절차폐지결정사유 및 당해 코스닥시장상장법인의 계속기업 가능성 유무를 고려한 결과 상장폐지기준에 해당한다고 결정,
725,더존디지털,045380,2009-12-09,피흡수합병,
724,모빌탑,085680,2009-11-25,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
723,플러스프로핏,036660,2009-11-20,감사범위 제한에 따른 감사의견 거절,
722,프로비타,014420,2009-11-06,주된 영업의 정지에 의한 상장폐지기준 해당,
721,소예,035010,2009-11-03,최근 사업연도의 재무제표에 대한 감사인의 감사의견거절,
720,굿이엠지,051530,2009-11-03,주된 영업의 정지에 의한 상장폐지기준 해당,
719,황금에스티,032560,2009-10-29,유가증권시장 상장,황금에스티
718,거북선1호선박투자,092970,2009-10-16,신청에 의한 상장폐지,
717,남한제지,001950,2009-10-15,자본잠식(자본금의 50/100이상 잠식) 2년 계속,
716,맥쿼리센트럴,076850,2009-10-09,해산 사유 발생,
715,아이드림,066850,2009-10-07,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절,
714,에이엠에스,044770,2009-10-07,"자본전액잠식, 2반기 연속 자본잠식률 50%이상, 2반기 연속 자기자본 10억원 미만",
713,제네시스,052640,2009-10-07,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
712,씨디네트웍스,073710,2009-09-23,상장폐지신청(2009.08.31),
711,카라반케이디이,032570,2009-09-18,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
710,네오리소스,058550,2009-09-15,자본잠식률 50%이상 및 자기자본 10억원 미만으로 관리종목 지정 후 반기의 재무제표에 대한 감사의견 거절,
709,써니트렌드,035500,2009-09-04,-2회연속 자본잠식률 50%이상 -2회연속 자기자본 10억원미만 -자본잠식률 50%이상 및 자기자본 10억원미만으로 관리종목 지정후 최근 반기 재무제표에 대한 외부감사인의 감사의견 의견거절,
708,뉴젠비아이티,054650,2009-09-04,반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출,
707,블루멈,033880,2009-09-04,"- 2회연속 자본잠식률 50% 이상 - 2009.3.31 자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절",
706,MTRON,046320,2009-08-28,2회연속 자본잠식률 50%이상 및 자기자본 10억원 미만,
705,한서제약,044070,2009-08-25,피흡수합병,
704,케이알,035950,2009-08-21,감사범위제한으로 인한 감사의견거절 및 계속기업 불확실성으로 인한 감사의견거절 사유해소 확인서 미제출,
703,FNC코오롱,001370,2009-08-17,해산 사유 발생,
702,케이엠에스,038830,2009-08-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
701,키움증권,039490,2009-08-03,유가증권시장 상장,키움증권
700,현대오토넷,042100,2009-07-16,해산 사유 발생,
699,LG마이크론,016990,2009-07-16,피흡수합병,
698,휴리프,006210,2009-07-15,자본잠식(자본금의 50/100이상 잠식) 2년 계속,
697,사이버패스,063280,2009-07-08,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
696,ST&I,031800,2009-07-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
695,삼성수산,052560,2009-07-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
694,하이럭스,079340,2009-06-24,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
693,KTF,032390,2009-06-23,해산 사유 발생,
692,헤쎄나,036270,2009-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
691,지디코프,036610,2009-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
690,코아정보,039990,2009-06-10,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
689,트리니티,053070,2009-06-03,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
688,지이엔에프,038920,2009-05-29,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
687,사라콤,040020,2009-05-27,자본전액잠식,
686,야호,059720,2009-05-27,감사의견거절(감사범위제한),
685,자강,036790,2009-05-15,감사의견거절(계속기업 존속 불확실성),
