,0
삶,22
강,22
퇴원,22
사람,22
곽춘호,22
스마트헬스케어,22
조선대병원,22
영도구,22
감사장,22
시간,22
이중,22
암치료,22
김재현,21
노동조합,21
오픈,21
경남지역,21
장례식장,21
신성훈,21
생체,21
신장내,21
확보,21
인연,21
육성,21
협진,21
롯데,21
부산경남취재본부,21
김병섭,21
내분비센터,21
폭언,21
병,21
응급센터,21
갑상선암,21
의무부총장,21
정신,21
부갑상선,21
진료지정병원,21
대사증후군,21
정민영,20
월드비전,20
울산병원,20
기념사진,20
봄철,20
호텔,20
연휴,20
전문병원,20
스텐트,20
대부분,20
바누아투,20
몽골환자,20
개선,20
롯데호텔,20
가족,20
공간,20
부문,20
아마추어,20
신약개발,20
저녁,20
외래,20
고신대복음병원은,20
본격적,20
위장관,20
벡스코,20
연합뉴스,20
환자중심,20
이상호,20
이름,20
어르신,20
헬스시티,20
유방센터,20
해외의료봉사팀,20
주일,20
옥철호,20
성산관,20
메디컬센터,20
상담,20
충남대병원,19
주임교수,19
서울아산병원,19
간호,19
존경,19
패밀리클리닉,19
혈액종양내,19
성공적,19
고신대복음병원에서,19
병상,19
지,19
마음,19
대한예수교장로회,19
내용,19
수면다원검사센터,19
유가족,19
내외,19
사진,19
급,19
나,19
데일리한국,19
으,19
무료검진,19
김흥열,19
특강,19
한국연구재단,19
발,19
고신대복음병원고신대복음병원,19
미래,19
혁신형의사과학자,19
시민,19
종합병원,19
전용병동,19
김태형,19
블라디보스톡,19
혁신,19
좋은삼선병원,19
해외의료봉사,19
사회,18
근무,18
일간,18
촬영,18
부산경남,18
대한이비인후과학회,18
사하구청,18
특별,18
로봇수술,18
대한민국,18
시민들,18
팸투어단,18
약료,18
마무리,18
고혈압,18
마을,18
뿐,18
중요성,18
실용음악,18
종합검진,18
정형외과,18
삼동면,18
전체,18
울주군,18
가정,18
비,18
식,18
심전도,18
롯데자이언츠,18
총회장,18
하용성,18
외국인환자,18
국내외,18
남대병원,18
경북대병원,17
직무대행,17
측은,17
수행,17
무엇,17
후즈,17
경상대병원,17
강연욱,17
학장,17
성탄절,17
목사,17
내시경,17
세대,17
조성,17
후학,17
바누아투공화국,17
신생아,17
자원봉사자,17
연말,17
대학,17
간암,17
사회적,17
돌입,17
합작,17
학생,17
이상준,17
연구중심병원,17
급성기뇌졸중,17
김효영,17
전북대병원,17
밤,17
메르스,17
합창단,17
김택상,17
전자,17
인제대해운대백병원,17
꿈,17
암성,17
시장,17
페마,17
개인정보,17
적용,17
홍보대사,17
공모,17
임직원,17
다낭성콩팥병,16
김영대,16
융합,16
기록,16
원격진료,16
제목,16
심양,16
소아,16
한국과학기술단체총연합회,16
한자리,16
세계적,16
자원봉사자들,16
기자,16
김광현,16
토요일,16
양성,16
적극,16
정준호,16
나흘간,16
전창완,16
컨퍼런스,16
여개,16
음악단,16
서울대병원,16
메디컬아이피,16
강진권,16
팜캐드,16
부울경지회,16
의료혜택,16
방법,16
거제지역,16
강지훈,16
그동안,16
원격협진,16
노귀영,16
경쟁력,16
착수,16
대사비만수술센터,16
거제,16
원격,16
신동훈,16
환경,16
맞이,16
고신대학교복음병원장,16
을지대병원,16
설립자,16
소화기내시경센터,16
서병수,16
병원들,16
질향상,15
개설,15
부산시장,15
회의,15
기대,15
내년,15
베타뉴스,15
집중치료,15
예배,15
센터,15
메디컬,15
강연,15
양국,15
인사,15
이틀간,15
최대,15
국가,15
장기려기념사업회,15
례,15
지부장,15
입원환자,15
변비,15
시대,15
전문가들,15
건강검진,15
적,15
전통병원,15
전자의무기록,15
해외특별전,15
데,15
과학기술부,15
직원들,15
일반,15
국제의료,15
강서구,15
시안,15
다리,15
정태식,15
장기려센터,15
김홍,15
사후관리,15
건강데이터,15
삼성전기,15
클러스터,15
적극적,15
하나,15
최첨단,15
의대,15
방문해,15
국비,15
의료기술교류세미나,15
신현동인회,15
환우들,15
곡,15
관리체계,15
강영안,14
성금,14
광혜병원,14
덕분,14
신장이식,14
대한췌담도학회,14
개인정보보호,14
방사선,14
파견,14
행복,14
게재,14
남태평양,14
충북대병원,14
한국인터넷진흥원,14
보직자,14
울산대병원,14
반납,14
발간,14
해외거점센터,14
심혈관질환,14
회원,14
발견,14
실질적,14
소강당,14
마이크로소프트,14
박선자,14
규모,14
맞춤치료,14
천,14
소마톰포스,14
연구원,14
실제,14
대표이사,14
연수생,14
최우수,14
통합의학적,14
당시,14
국제,14
의료계,14
소속,14
해외교류세미나,14
출신,14
국립경찰,14
선물,14
학,14
완화의료학회,14
현재,14
노력,14
원인,14
암,14
추모행사,14
개월,14
영도캠퍼스,14
그룹,14
마을주민,14
저널,14
지역거점형,14
사이몬,14
영화배우,14
간소화기센터,14
무료수술,14
우크라,13
실천강화,13
박은택,13
동참,13
공연,13
하노이,13
보건부,13
상담회,13
유치기반,13
부총리,13
단체,13
유명,13
결핵관리,13
약사,13
분당서울대병원,13
말레이시아,13
주도,13
감천,13
정밀의학,13
쿠키,13
건강증진,13
한국관광공사,13
문제,13
활발,13
국민보건,13
장은성,13
호스피스완화의료,13
워크숍,13
부산걷기연맹,13
간호부,13
최학봉,13
수도권,13
하노,13
문화,13
저명,13
위촉,13
합동,13
안전한,13
성공,13
분원,13
다랭이마을,13
동성초등학교,13
건강정보,13
다양,13
인식,13
방사선치료,13
손봉호,13
남해,13
살,13
부산은행,13
에이전시,13
해당,13
입구,13
절제술,13
당뇨,13
매년,13
부회장,13
우리나라,13
아스타나,13
유방암센터,13
다채로운,13
이영,13
지정병원,13
협력센터,13
임상시험,13
트루빔,13
단국대병원,13
의장,13
유지,13
목적,13
바로알기,13
상,13
팸투어,13
확대,13
전달한,13
방사성의약품,13
차례,13
외국인환자유치,13
해동병원,13
유학생,13
주인공,13
계속,13
어지럼증,13
부산성모병원,13
최고,13
시민강좌,12
초대,12
고령,12
첨단의료기술,12
감동,12
연구사업,12
전문약사,12
의약품,12
기원,12
최선,12
시민건강교실,12
골다공증,12
인력,12
생애,12
장면,12
당뇨병,12
유동원,12
면,12
치료법,12
워크샵,12
부산의료원,12
유방암환자들,12
식도암,12
신규,12
쥬비,12
의료선교센터,12
거제시,12
기업,12
옥수석,12
종근당,12
사업설명회,12
베드,12
영상,12
이혜,12
신경,12
우수논문,12
권위,12
정착,12
헬스케어사업단장,12
과학기술우수논문상,12
융합의학,12
건강천사,12
엑서하트,12
진료부장,12
상황,12
장기려암센터,12
의료영상분석,12
연구팀,12
의료교류,12
준비한,12
대한갑상선두경부외과학회,12
전쟁,12
수상자,12
리모델링,12
설치,12
이슈,12
연간,12
약제부,12
외과학교,12
서광,12
피란민,12
기간,12
종합,12
복음병원장,12
원광대병원,12
소아암환우,12
부산경남내과학회,12
체험,12
급성기,12
지하,12
의자,12
최신지견,12
사업화,12
고지혈증,12
