"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20160101-20160630,20150101-20151231,20150101-20150630,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00122339_udf_CF_2013322162954360_AdjustmentsForReconcileProfitLoss,관계기업투자처분손실,NEWAccount for Adjustments to reconcile profit (loss) (16),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,관계기업투자처분손실,,,,42533953.0,269658682.0
entity00122339_udf_CF_201332118432208_AdjustmentsForReconcileProfitLoss,단기매매증권처분이익,NEWAccount for Adjustments to reconcile profit (loss) (7),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,단기매매증권처분이익,-182293091.0,,,19384162.0,19072240.0
entity00122339_udf_CF_201432513729427_AdjustmentsForReconcileProfitLoss,단기매매증권평가이익,NEWAccount for Adjustments to reconcile profit (loss) (17),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,단기매매증권평가이익,,,,,1204570.0
entity00122339_udf_CF_20133211844036_AdjustmentsForReconcileProfitLoss,단기대매증권처분손실,NEWAccount for Adjustments to reconcile profit (loss) (8),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,단기대매증권처분손실,,,,,304434318.0
entity00122339_udf_CF_201332118446740_AdjustmentsForReconcileProfitLoss,단기매매증권평가손실,NEWAccount for Adjustments to reconcile profit (loss) (9),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,단기매매증권평가손실,,,,,18030000.0
entity00122339_udf_CF_20141119171658950_AdjustmentsForReconcileProfitLoss,매도가능증권처분이익,NEWAccount for Adjustments to reconcile profit (loss) (21),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매도가능증권처분이익,,-597826877.0,-588810977.0,-1096638875.0,
entity00122339_udf_CF_201632819748729_AdjustmentsForReconcileProfitLoss,매도가능증권평가이익,NEWAccount for Adjustments to reconcile profit (loss) (28),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매도가능증권평가이익,,-72022.0,-34873.0,,
entity00122339_udf_CF_201632819824980_AdjustmentsForReconcileProfitLoss,장기금융상품평가이익,NEWAccount for Adjustments to reconcile profit (loss) (29),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,장기금융상품평가이익,,-730830.0,,,
entity00122339_udf_CF_201432513814714_AdjustmentsForReconcileProfitLoss,장기금융상품평가손실,NEWAccount for Adjustments to reconcile profit (loss) (18),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,장기금융상품평가손실,,,,2965003.0,4412945.0
entity00122339_udf_CF_201332118454474_AdjustmentsForReconcileProfitLoss,관계기업투자손상차손,NEWAccount for Adjustments to reconcile profit (loss) (10),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,관계기업투자손상차손,,,,,
entity00122339_udf_CF_201632819939896_AdjustmentsForReconcileProfitLoss,종속기업처분이익,NEWAccount for Adjustments to reconcile profit (loss) (30),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,종속기업처분이익,-3647456527.0,-39655083.0,-6625083.0,,
entity00122339_udf_CF_201632819946823_AdjustmentsForReconcileProfitLoss,관계기업처분이익,NEWAccount for Adjustments to reconcile profit (loss) (31),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,관계기업처분이익,-1000000.0,-680000000.0,,,
entity00122339_udf_CF_201632819120308_AdjustmentsForReconcileProfitLoss,국고보조금이익,NEWAccount for Adjustments to reconcile profit (loss) (33),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,국고보조금이익,,96000000.0,-96000000.0,,
entity00122339_udf_CF_2014829113336429_AdjustmentsForReconcileProfitLoss,잡이익,NEWAccount for Adjustments to reconcile profit (loss) (20),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,잡이익,-45081.0,,-351716.0,-1620899676.0,
