,date,유동자산,현금및현금성자산,단기금융상품,매출채권 및 기타유동채권,만기보유금융자산,재고자산,기타유동자산,비유동자산,매도가능금융자산,만기보유금융자산,장기금융상품,장기매출채권 및 기타비유동채권,당기손익인식금융자산,유형자산,투자부동산,무형자산,이연법인세자산,기타비유동자산,자산총계,유동부채,매입채무 및 기타유동채무,단기차입부채,금융보증부채,하자보수충당부채,손해배상충당부채,기타유동부채,비유동부채,장기매입채무 및 기타비유동채무,장기차입부채,당기손인인식금융부채,확정급여부채,기타비유동채무,이연법인세부채,부채총계,지배기업소유주지분,자본금,자본잉여금,자기주식,기타자본,이익잉여금(결손금),지배기업소유주지분 합계,비지배지분,자본총계,자본과부채총계,company
0,20111231,919718310569.0,94846526926.0,1458646000.0,759265274862.0,942280000.0,30002292372.0,33203290409.0,454537649773.0,28153087914.0,1538525000.0,19000000.0,77224137726.0,111548758.0,140135783900.0,185875264519.0,7266846921.0,12872313185.0,1341141850.0,1374255960342.0,752955724323.0,516846395394.0,162218485251.0,12028578415.0,32409275965.0,345600000.0,29107389298.0,468462804403.0,17033210495.0,437877759872.0,0.0,10520249631.0,3031584405.0,0.0,1221418528726.0,,107600000000.0,87514990770.0,22230445101.0,109745435871.0,-42277559154.0,152837431616.0,0.0,152837431616.0,1374255960342.0,풍림산업
1,20101231,771447482160.0,39966982146.0,1565847390.0,658773549500.0,729110000.0,34818379461.0,35593613663.0,417353670119.0,26606725767.0,2913785000.0,19000000.0,87943966767.0,514880653.0,145011246231.0,138500485292.0,7266846921.0,6957905009.0,1618828479.0,1188801152279.0,954388334556.0,371141947782.0,499226462581.0,7029606145.0,35278878780.0,345600000.0,41365839268.0,49263627950.0,16810305704.0,18850000000.0,0.0,9836828050.0,3766494196.0,0.0,1003651962506.0,,107600000000.0,83488325564.0,22230445101.0,105718770665.0,-5939135791.0,185149189773.0,0.0,185149189773.0,1188801152279.0,풍림산업
2,20091231,875186217415.0,89130676370.0,2358646000.0,713340312689.0,1940756480.0,35314961520.0,33100864356.0,394279663752.0,27774495130.0,6509530000.0,19000000.0,78220047817.0,0.0,145670021028.0,126105466607.0,7030006156.0,0.0,2951097014.0,1269465881167.0,506509390912.0,327249400675.0,92045782723.0,10609934527.0,25235166291.0,0.0,51369106696.0,501712614735.0,17571533890.0,453316068962.0,667904866.0,9749888452.0,4195191573.0,16212026992.0,1008222005647.0,,107600000000.0,82461111638.0,22230445101.0,104691556739.0,71182763882.0,261243875520.0,0.0,261243875520.0,1269465881167.0,풍림산업
