,date,자산,Ⅰ.유동자산,(1)당좌자산,1.현금및현금성자산(주석16),2.단기금융상품(주석3),3.매도가능증권(주석6과16),4.매출채권,대손충당금,5.단기대여금(주석4와17),대손충당금,6.미수금(주석16),대손충당금,7.임직원불법행위미수금(주석5와14),대손충당금,8.미수수익,9.선급금,대손충당금,10.선급비용,11.선급법인세,(2)재고자산,1.제품,평가충당금,2.재공품,3.원재료,평가충당금,4.부재료,5.상품,평가충당금,Ⅱ.비유동자산,(1)투자자산,1.장기금융상품(주석3),2.장기대여금(주석17),3.대손충당금,4.장기매도가능증권(주석6),5.지분법적용투자주식(주석7),6.회원권,(2)유형자산(주석8),1.토지,2.건물,감가상각누계액,3.기계장치,감가상각누계액,국고보조금,4.차량운반구,감가상각누계액,5.공구와기구,감가상각누계액,국고보조금,6.비품,감가상각누계액,국고보조금,7.건설중인자산,(3)무형자산(주석9와27),1.산업재산권,2.영업권,3.개발비,4.소프트웨어,5.기타의무형자산,(4)기타비유동자산,1.보증금,자산총계,Ⅰ.유동부채,1.매입채무(주석16),2.단기차입금(주석10과16),3.미지급금(주석17),4.사고어음미지급금(주석5와14),5.미지급비용(주석16),6.선수금,7.예수금,8.부가세예수금,9.예수보증금,10.전환사채(주석12),전환권조정,11.신주인수권부사채미지급금(주석11과16),12.신주인수권부사채(주석11과16),신주인수권부사채할인발행차금,상환할증금,신주인수권조정,13.유동성장기부채(주석10),14.하자보수충당금,Ⅱ.비유동부채,1.전환사채(주석12),전환사채할인발행차금,상환할증금,전환권조정,2.장기차입금(주석10),3.퇴직급여충당부채(주석13),퇴직보험예치금,4.임대보증금,부채총계,자본,Ⅰ.지배회사지분,(1)자본금(주석18),1.보통주자본금,(2)연결자본잉여금,(3)연결자본조정,1.주식할인발행차금,2.자기주식(주석18),3.연결기타자본조정,4.주식선택권(주석19),(4)연결기타포괄손익누계액,1.지분법자본변동(주석7과21),2.해외사업환산손실(주석21),3.유형자산평가이익(주석8과21),(5)연결이익잉여금,1.법정적립금,2.임의적립금,3.미처분연결이익잉여금,Ⅱ.소수주주지분,자본총계,부채와자본총계,company
0,20081231,,24612016955.0,15363523021.0,245132357.0,1116380419.0,251500000.0,11463331388.0,-5566867110.0,6716188486.0,-5411296628.0,2912025467.0,-1270118518.0,7377344270.0,-7377344270.0,85889071.0,5949519230.0,-1200302229.0,62062071.0,10079017.0,9248493934.0,7183235565.0,-4217264932.0,1217838441.0,7874384806.0,-2906100825.0,49858321.0,70307899.0,-23765341.0,22570697939.0,5414307604.0,82820000.0,667677583.0,-200250000.0,763879500.0,3907669309.0,192511212.0,7516392009.0,2926193300.0,2182645315.0,-135796585.0,7262295167.0,-6401183053.0,-1207520.0,228004882.0,-171488666.0,1307674954.0,-530035140.0,-54166357.0,615510857.0,-441650391.0,-14000.0,729609246.0,8663842149.0,88851341.0,6705237962.0,1632272135.0,226197377.0,11283334.0,976156177.0,976156177.0,47182714894.0,38316827698.0,4261144560.0,18158805402.0,5555587024.0,2150000000.0,891961598.0,427521444.0,49972032.0,226159011.0,10000000.0,120000000.0,-120000000.0,4366970550.0,1509000000.0,-22661408.0,800373600.0,-403006115.0,285000000.0,50000000.0,1714324288.0,70000.0,-38.0,8827.0,-7184.0,1530000000.0,226892601.0,-50139918.0,7500000.0,40031151986.0,,7085060700.0,7494079000.0,7494079000.0,,-3000351849.0,-897390350.0,-2934347400.0,816331004.0,15054897.0,1514245994.0,691859075.0,-159972279.0,982359198.0,1077087555.0,,,1077087555.0,66502208.0,7151562908.0,47182714894.0,카라반케이디이
1,20071231,,17452040903.0,10954248515.0,260991774.0,1168725866.0,11216000.0,6670510871.0,-2997232551.0,2777100726.0,-2997232551.0,1357190396.0,-2997232551.0,,-2997232551.0,24428805.0,2362902269.0,-2997232551.0,148737750.0,23421421.0,6497792388.0,4435926720.0,,1900918383.0,,,,75862815.0,,7014327050.0,3042889382.0,11078160.0,100000000.0,-2997232551.0,,2728534822.0,,1844032204.0,,,-4334146911.0,5129242690.0,-4334146911.0,-13001760.0,137583710.0,-4334146911.0,4861913773.0,-4334146911.0,-13001760.0,4381192569.0,-4334146911.0,-13001760.0,,1601231293.0,117881260.0,,834986164.0,,659356543.0,526174171.0,526174171.0,24466367953.0,21569611433.0,4085467769.0,8679356300.0,1929245830.0,2020000000.0,141690540.0,413122869.0,38710523.0,,,70000.0,-12327.0,3765690868.0,375280000.0,-7213608.0,199048512.0,-128288170.0,,,2063685081.0,70000.0,-66.0,199048512.0,-12327.0,,763887054.0,,7500000.0,23633296514.0,,734534921.0,23529429000.0,23529429000.0,8493849697.0,-795583254.0,,-5511836.0,,21991582.0,-1587684537.0,,-1125586736.0,,,,,,98536518.0,833071439.0,,카라반케이디이
2,20061231,,27869455848.0,15635184515.0,3141833274.0,2358155754.0,22395000.0,7617327827.0,-2192094800.0,1481236154.0,-2192094800.0,1614319889.0,-2192094800.0,,-2192094800.0,54657367.0,2436363351.0,-2192094800.0,309337697.0,21043081.0,12234271333.0,4710833789.0,,1816829457.0,,,,63471807.0,,12764098638.0,3974619461.0,16078160.0,100000000.0,-2192094800.0,,3657246201.0,,3493041328.0,,,-3806122316.0,5086824866.0,-3806122316.0,-40559784.0,142896518.0,-3806122316.0,6804148479.0,-3806122316.0,-40559784.0,5094148762.0,-3806122316.0,-40559784.0,,4421745803.0,194173382.0,,3759480037.0,,529109569.0,874692046.0,874692046.0,40633554486.0,19393798910.0,3546703921.0,12945357401.0,2046718839.0,,77836853.0,658032539.0,61649357.0,,,,,,4648000000.0,-94060647.0,986119680.0,-761919693.0,,,7210370010.0,,,986119680.0,,40001061.0,1577516309.0,,7500000.0,26604168920.0,,13939145810.0,13462029000.0,13462029000.0,9538349106.0,-806417837.0,,-3798911.0,,9444074.0,-1818488671.0,,-1125675884.0,,,,,,90239756.0,14029385566.0,,카라반케이디이
