,date,자산,I.유동자산,(1)당좌자산,1.현금및현금등가물,2.단기금융상품(주석6),3.유가증권,4.매출채권(주석13),대손충당금(주석4),5.단기대여금(주석15),대손충당금(주석4),6.미수금,대손충당금(주석4),7.미수수익,대손충당금(주석4),8.선급금,9.선급비용,10.선급법인세,(2)재고자산,1.상품,2.제품,3.재공품,4.원재료,5.저장품,6.미착품,II.고정자산,(1)투자자산,1.장기금융상품(주석6),2.투자유가증권(주석7),3.장기대여금,대손충당금(주석4),4.보증금,5.이연법인세차(주석18),"(2)유형자산(주석4,8,9,10)",1.토지,2.건물,감가상각누계액,3.구축물,감가상각누계액,4.기계장치,감가상각누계액,5.차량운반구,감가상각누계액,6.건설중인자산,7.기타의유형자산,감가상각누계액,(3)무형자산(주석4),1.영업권,2.산업재산권,3.개발비,4.공업소유권,5.창업비,자산총계,부채,I.유동부채,1.매입채무,"2.단기차입금(주석10,12,13)",3.미지급금,4.선수금,5.예수금,6.미지급법인세,7.미지급배당금,8.미지급비용,"9.유동성장기부채(주석10,12,13)",10.유동성외화장기부채,II.고정부채,1.사채(주석11),사채할인발행차금,"2.장기차입금(주석10,12,13)",3.외화장기차입금,4.퇴직급여충당금(주석4),퇴직보험예치금,국민연금전환금,5.보증금,6.장기성미지급금,7.이연법인세대(주석18),부채총계,자본,I.자본금(주석1),1.보통주자본금,2.우선주자본금,II.연결자본잉여금,(1)자본준비금,1.주식발행초과금,2.감자차익,3.합병차익,4.기타자본잉여금,(2)재평가적립금,III.연결이익잉여금(연결결손금),1.이익준비금,2.기업합리화적립금,3.재무구조개선적립금,4.시설적립금,5.연구및인력개발준비금,6.해외투자손실준비금,7.해외시장개척준비금,8.차기이월이익잉여금,"(연결당기순이익(손실)당기:(-)98,103,755,019전기:2,222,577,864",IV.자본조정,1.전환권대가,2.자기주식(주석16),3.투자유가증권평가이익,4.해외사업환산대(차),V.외부주주지분,자본총계,"부채,외부주주지분및자본총계",company
0,20021231,,83411613517.0,71507404454.0,3275165581.0,22066430651.0,72648894.0,46021927025.0,19865357987.0,6376146785.0,1613019661.0,1770143130.0,61434294.0,5929745869.0,5178457923.0,903013618.0,898232986.0,883796387.0,11904209063.0,1383347902.0,3922085989.0,1522792839.0,2830919979.0,528244592.0,1716817762.0,189203281825.0,79402780564.0,57072854.0,56041358704.0,29887443742.0,-2195676658.0,1333837043.0,8124628421.0,105174878738.0,21344498237.0,30491648916.0,21961865586.0,4492823178.0,1629935806.0,94254307887.0,12237881079.0,525253609.0,-248123511.0,660711248.0,5786473661.0,-4792727705.0,4625622523.0,1857502989.0,1385965355.0,643864898.0,,738289281.0,272614895342.0,,194907087496.0,49048533821.0,64292009320.0,4182796884.0,69579017.0,1745499951.0,96804013.0,89912296.0,4376917726.0,71005034468.0,,38348186943.0,20000000000.0,19253857376.0,6821400000.0,,14148271546.0,-4466429216.0,8405643622.0,2385000000.0,151481711.0,319633568.0,233255274439.0,,42650165000.0,38132450000.0,4517715000.0,638621951.0,,10095081884.0,,,-9456459933.0,,-24983552440.0,2663504900.0,,,,5556776270.0,2771100800.0,,-35974934410.0,,-39053507.0,,-6353551227.0,5689629648.0,624868072.0,21093439899.0,39359620903.0,272614895342.0,서통
1,20011231,,199179476821.0,172656505566.0,35057486936.0,21632399917.0,9647528885.0,65917694747.0,62493540485.0,29119403522.0,,1199506764.0,,8645317513.0,,1761401762.0,1387842651.0,,26522971255.0,5054007020.0,8414292946.0,5551436179.0,5045922752.0,686395124.0,1770917234.0,264456608303.0,63988538593.0,186572854.0,56674638400.0,1485392592.0,,1542665107.0,4099269640.0,167545845470.0,30774255247.0,45574838140.0,35385980084.0,11349211265.0,4492617801.0,129524542658.0,39938939234.0,686336418.0,-242920506.0,1653698200.0,11782791802.0,-8256552850.0,32922224240.0,18324944235.0,1722896749.0,11905060232.0,11086394.0,958236630.0,463636085124.0,,229257356103.0,58427360084.0,84415124940.0,3395891255.0,209287846.0,610508306.0,3493511497.0,5346449966.0,4844801693.0,67782413316.0,732007200.0,89309759123.0,47000000000.0,44168723632.0,29708500000.0,732007200.0,14272808822.0,-5821331085.0,6588579229.0,2856000000.0,197597543.0,2711264081.0,318567115226.0,,42650165000.0,38132450000.0,4517715000.0,73498050251.0,,34577784590.0,1720000000.0,3562898071.0,145736043.0,33491631547.0,-6566071660.0,4281464033.0,1368302181.0,520000000.0,4400000000.0,10426666667.0,483333334.0,243333334.0,-28289171209.0,,7287235667.0,,-5194876099.0,12033741534.0,448370232.0,28199590640.0,145068969898.0,463636085124.0,서통
2,20001231,,184978833780.0,158376271089.0,8008985565.0,29059432089.0,5605516204.0,67818886207.0,65328685467.0,36459653278.0,65328685467.0,1820204905.0,65328685467.0,8322445097.0,65328685467.0,1467853490.0,1018528847.0,,26602562691.0,4928245495.0,8397077318.0,4583122080.0,5221274392.0,699683499.0,2773159907.0,289921428780.0,79512831659.0,2161452033.0,66956476444.0,395836000.0,65328685467.0,1233002408.0,1032850718.0,176560575950.0,32234763641.0,45674834421.0,37564214787.0,11180892005.0,37564214787.0,125524766360.0,37564214787.0,765160449.0,37564214787.0,2465397064.0,11350627349.0,37564214787.0,33848021171.0,19688899144.0,2037848375.0,11042222476.0,17918953.0,1061132223.0,474900262560.0,,203722129397.0,59240740675.0,87087099633.0,3571369850.0,1199970863.0,1871282896.0,3448911643.0,1075006643.0,4685540732.0,35724000000.0,5735149940.0,118362921769.0,81500000000.0,72843288914.0,22679580700.0,1390708800.0,3495896016.0,-2215307153.0,8992648725.0,1233002408.0,,4206502182.0,322085051166.0,,42650165000.0,38132450000.0,4517715000.0,78333599433.0,,39278621020.0,1720000000.0,3562898071.0,280448795.0,33491631547.0,-7421879302.0,4151464033.0,1368302181.0,520000000.0,2700000000.0,,966666667.0,486666667.0,-26238312184.0,,6613356113.0,844666345.0,-5241376099.0,10568829827.0,441236040.0,32639970150.0,152815211394.0,474900262560.0,서통
