"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00599887_udf_BS_2017111391945484_NoncurrentAssets,보증금,Deposits Provided,재무상태표 [abstract],자산 [abstract],비유동자산,보증금,,441067279.0,443650289.0,584521285.0,1097799324.0
ifrs_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,,3348644511.0,13547409825.0,14025433711.0,14833608854.0
entity00599887_udf_BS_20171113921268_NoncurrentAssets,파생금융상품,Derivatives transaction,재무상태표 [abstract],자산 [abstract],비유동자산,파생금융상품,,18710568.0,,1391919.0,222194916.0
ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,,878819470.0,1222752159.0,1725392566.0,1713943038.0
ifrs_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,,205762446788.0,232507597846.0,225142367113.0,172791896274.0
ifrs_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,,136620753362.0,112160391002.0,102405787058.0,127382174611.0
ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,,136561753362.0,111061823871.0,102326164637.0,
ifrs_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,단기차입금,16705889301.0,11392116650.0,16167582650.0,27994230045.0
ifrs_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,유동성장기차입금,45787439132.0,34229891369.0,29114438918.0,58705544338.0
dart_ShortTermAdvancesCustomers,선수금,Short-term advances customers,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,선수금,27726969094.0,18977006723.0,13635084894.0,15036718026.0
dart_ShortTermIncomeReceivedInAdvance,단기선수수익,Short-term income received in advance,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,단기선수수익,1660943.0,1814418.0,1701018.0,1610245.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,매입채무,42801302071.0,41879653535.0,39063506704.0,16158556482.0
dart_ShortTermOtherPayables,미지급금,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,미지급금,3231885824.0,4056820546.0,3944778095.0,8493898552.0
dart_ShortTermAccruedExpenses,미지급비용,Short-term accrued Expenses,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,미지급비용,195763559.0,244904943.0,295687874.0,552866822.0
entity00599887_udf_BS_201832993957536_TradeAndOtherCurrentPayables,당기법인세부채,unknown,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,당기법인세부채,1708398.0,2642281.0,1734260.0,1612214.0
dart_ShortTermWithholdings,예수금,Short-term withholdings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,예수금,109135040.0,276973406.0,101650224.0,164942971.0
entity00599887_udf_BS_2017111393628943_CurrentLiabilities,파생금융상품,Derivatives transaction,재무상태표 [abstract],부채 [abstract],유동부채,파생금융상품,,,1039867131.0,29622421.0,222194916.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,,59000000.0,58700000.0,50000000.0,50000000.0
ifrs_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,,25276919190.0,37106416469.0,59760663811.0,15009512098.0
dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,,12879444859.0,32017592216.0,51286681623.0,
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,장기차입금,996645225.0,29864772398.0,48619842441.0,
dart_ConvertibleBonds,전환사채,Convertible bonds,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,전환사채,9851643787.0,,,
dart_LongTermOtherPayablesGross,장기미지급금,"Long-Term other Payables, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,장기미지급금,143181847.0,82445818.0,640559182.0,632562990.0
dart_LongTermGuaranteeDepositRentGross,장기임대보증금,"Long-term guarantee deposit rent, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,장기임대보증금,1887974000.0,2070374000.0,2026280000.0,2061700000.0
dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,,2373361154.0,2079176311.0,1349891877.0,1033308515.0
ifrs_NoncurrentProvisions,비유동충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,비유동충당부채,,10024113177.0,3009647942.0,7124090311.0,11281940593.0
ifrs_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,,161897672552.0,149266807471.0,162166450869.0,142391686709.0
ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,,43795824791.0,83130586598.0,62794232335.0,30226503307.0
ifrs_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,,31993801000.0,31993801000.0,25193801000.0,13322921500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,,92664936263.0,87047938959.0,74647290650.0,54995455772.0
ifrs_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),,-79444760190.0,-33587474261.0,-35458223262.0,-36314791938.0
dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,,-1234806702.0,-1234806702.0,-1234806702.0,-1234806702.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,,-183345580.0,-1088872398.0,-353829351.0,-542275325.0
ifrs_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,68949445.0,110203777.0,181683909.0,173706258.0
ifrs_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,,43864774236.0,83240790375.0,62975916244.0,30400209565.0
ifrs_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,,205762446788.0,232507597846.0,225142367113.0,172791896274.0
