"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,67602736567.0,60817436605.0,23703009111.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,138182415748.0,87977708147.0,49725265172.0
entity00913689_udf_BS_20171113102559910_EquityAttributableToOwnersOfParent,자본금.,capital.,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금.,5821000000.0,2400000000.0,2243750000.0
entity00913689_udf_BS_20171113102615501_EquityAttributableToOwnersOfParent,자본잉여금.,Capital Surplus.,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금.,49335355171.0,22951863221.0,17494094313.0
entity00913689_udf_BS_201988103021615_EquityAttributableToOwnersOfParent,기타자본항목.,Other capital items.,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본항목.,189423019.0,556282526.0,-38411536.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,690690107.0,185335984.0,-547570399.0
entity00913689_udf_BS_20198810319768_EquityAttributableToOwnersOfParent,이익잉여금.,Retained Earnings.,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금.,82145947451.0,61884226416.0,30573402794.0
entity00913689_udf_BS_2019327235424_EquityAbstract,비지배지분.,Non - controlling interest./,재무상태표 [abstract],자본 [abstract],비지배지분.,,641408302.0,0.0,
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,138823824050.0,87977708147.0,49725265172.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,206426560617.0,148795144752.0,73428274283.0
