"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
entity00540429_udf_CF_202032816376324_CashFlowsFromUsedInFinancingActivities,전환사채의 발행,Convertible Bonds Bar,현금흐름표 [abstract],재무활동현금흐름,전환사채의 발행,1000000000.0,-2905683527.0,28400000000.0
entity00540429_udf_CF_2019511134444326_CashFlowsFromUsedInFinancingActivities,유상증자,Rights offering,현금흐름표 [abstract],재무활동현금흐름,유상증자,5999499401.0,984107720.0,8346846902.0
entity00540429_udf_CF_202032817180606_CashFlowsFromUsedInFinancingActivities,무상증자,Free increase,현금흐름표 [abstract],재무활동현금흐름,무상증자,,,-674084.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,15644583497.0,21191220826.0,7169766004.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,,,1450000000.0
entity00540429_udf_CF_2019326111549603_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayment of long-term liquidity liabilities,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,-200040000.0,-216710000.0,-333360000.0
entity00540429_udf_CF_2019811143314361_CashFlowsFromUsedInFinancingActivities,리스부채의 감소,Reduction of Lease Liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 감소,-125657280.0,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,3930436912.0,-7031493657.0,5299286816.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,1256086844.0,8287580501.0,2988293685.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,,-5140374.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,5186523756.0,1256086844.0,8287580501.0
