"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00361594_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,투자활동으로인한현금유출액,"Cash flows from (used in) investing activities, Cash out",현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,,36652377611.0,37503369653.0,21961561349.0
entity00361594_udf_CF_2017119213037284_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,단기금융상품의증가,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,단기금융상품의증가,21345660613.0,32205697625.0,17373969814.0
entity00361594_udf_CF_201833018173653_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,단기대여금의증가,e,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,단기대여금의증가,130000000.0,321500000.0,0.0
entity00361594_udf_CF_2017119213040919_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,장기금융상품의증가,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,장기금융상품의증가,728308620.0,1693935425.0,1391503634.0
entity00361594_udf_CF_2020327202229174_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,장기대여금의 증가,Increase in long-term loans,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,장기대여금의 증가,500000000.0,0.0,0.0
entity00361594_udf_CF_2020327202330692_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정자산의 취득,e4,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,기타포괄손익-공정가치측정자산의 취득,1500000.0,0.0,0.0
entity00361594_udf_CF_2017119213041309_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,공동기업투자주식의 취득,Purchase of investments in  associates,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,공동기업투자주식의 취득,12851000000.0,0.0,85654257.0
entity00361594_udf_CF_2017119213440411_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,토지의취득,Purchase of land,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,토지의취득,0.0,266597780.0,366735690.0
entity00361594_udf_CF_2017119213441830_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,건물의취득,Purchase of buildings,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,건물의취득,28955066.0,920381870.0,54854537.0
entity00361594_udf_CF_2017119213457368_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,기계장치의취득,Purchase of machinery,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,기계장치의취득,355000000.0,711039266.0,263005737.0
