"[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_PurchaseOfIntangibleAssetsUnderDevelopment,개발비의 증가,Purchase of intangible assets under development,현금흐름표 [abstract],투자활동으로 인한 현금흐름,개발비의 증가,,,2634051563.0
ifrs-full_PurchaseOfOtherLongtermAssetsClassifiedAsInvestingActivities,보증금의 증가,Increase in deposit,현금흐름표 [abstract],투자활동으로 인한 현금흐름,보증금의 증가,32707007.0,160481547.0,58887659.0
ifrs-full_ProceedsFromOtherLongtermAssetsClassifiedAsInvestingActivities,보증금의 감소,Proceeds from other long-term assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,보증금의 감소,,,61728448.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,,7378725816.0,3483381490.0,8277358790.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 차입,7366000000.0,3020000000.0,11519000000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,장기차입금의 차입,3000000000.0,500000000.0,
dart_ProceedsFromConvertibleBonds,전환사채의 발행,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동으로 인한 현금흐름,전환사채의 발행,,8500000000.0,
dart_RepaymentsOfLongTermBorrowings,유동성장기부채의 상환,Repayment of long-term liquidity liabilities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유동성장기부채의 상환,2766666664.0,2843690000.0,1124920000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,유동성리스부채의 상환,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유동성리스부채의 상환,220607520.0,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,자기주식의 취득,,2969230060.0,997484410.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,Dividends paid,현금흐름표 [abstract],재무활동으로 인한 현금흐름,배당금의 지급,,2723698450.0,1119236800.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시현금및현금성자산의 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],외화표시현금및현금성자산의 환율변동효과,,-12401266.0,-8262504.0,-151178193.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 증가(감소),,3684936776.0,-6815069716.0,8097543045.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금및현금성자산,,2026412895.0,8841482611.0,743939566.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금및현금성자산,,5711349671.0,2026412895.0,8841482611.0
