"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_RepaymentsOfBonds,유동성사채의 상환,Repayments of current portion of bonds,현금흐름표 [abstract],재무활동현금흐름,유동성사채의 상환,588368000.0,0.0,0.0
entity00442570_udf_CF_2019812165322870_CashFlowsFromUsedInFinancingActivities,기타금융부채의 감소,Adjustments for decrease in other financial liabilities,현금흐름표 [abstract],재무활동현금흐름,기타금융부채의 감소,3863526.0,0.0,0.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,유동성리스부채의 상환,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,유동성리스부채의 상환,989059946.0,0.0,0.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,0.0,656057850.0,1315400300.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,3078715200.0,2060478400.0,2076676800.0
entity00442570_udf_CF_2019812165451863_CashFlowsFromUsedInFinancingActivities,비지배지분의 취득및처분,Other cash payments to acquire interests in Non-controlling interests,현금흐름표 [abstract],재무활동현금흐름,비지배지분의 취득및처분,33459000.0,-1451648551.0,0.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],환율변동효과 반영전 현금및현금성자산의 순증가(감소),,11077036963.0,7602737351.0,-15188031449.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,63413681.0,1010586776.0,-3971936912.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,30198255224.0,21584931097.0,40744899458.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,41338705868.0,30198255224.0,21584931097.0
