"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
entity00599285_udf_CF_2019327132824179_CashFlowsFromUsedInInvestingActivities,기타투자자산의 증가,Other Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,기타투자자산의 증가,6000000.0,15188403.0,
entity00599285_udf_CF_20193271751144_CashFlowsFromUsedInInvestingActivities,연결범위변동에 따른 현금유출,Other outflows of cash,현금흐름표 [abstract],투자활동으로 인한 현금흐름,연결범위변동에 따른 현금유출,,,1086262531.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,,1922010590.0,3484868995.0,31707055217.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 증가,16600000000.0,23100000000.0,29300000000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,장기차입금의 증가,14100000000.0,2200000000.0,
ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유상증자,,,34218920000.0
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,현금흐름표 [abstract],재무활동으로 인한 현금흐름,사채의 증가,,,5000000000.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 감소,Repayments of short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 감소,19000000000.0,16986000000.0,30823534783.0
entity00599285_udf_CF_202022513457988_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의감소,long-term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유동성장기차입금의감소,750000000.0,,
dart_RepaymentsOfBonds,유동성사채의 감소,Repayments of bonds,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유동성사채의 감소,5000000000.0,,5000000000.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,자기주식의 취득,,3442081005.0,
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당의 지급,Dividends paid,현금흐름표 [abstract],재무활동으로 인한 현금흐름,배당의 지급,1446160000.0,1387050000.0,988330000.0
entity00599285_udf_CF_20203213756614_CashFlowsFromUsedInFinancingActivities,리스부채의 감소,Reduction of lease liabilities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,리스부채의 감소,2151412030.0,,
entity00599285_udf_CF_202032131629356_CashFlowsFromUsedInFinancingActivities,비지배지분의 감소,Reduction of non-controlling interests,현금흐름표 [abstract],재무활동으로 인한 현금흐름,비지배지분의 감소,430417380.0,,
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금,,13515833398.0,9697807390.0,8023787764.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,현금의 증감,Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],현금의 증감,,5198393889.0,3884976051.0,1742817898.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,-70484580.0,-66950043.0,-68798272.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금,,18643742707.0,13515833398.0,9697807390.0
