"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170301-20171231
entity01203808_udf_CF_201932514550726_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유출액,Cash outflow from financial activities,현금흐름표 [abstract],재무활동현금흐름,재무활동으로 인한 현금유출액,-29534673235.0,-8153938880.0,-1543050000.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,17588198331.0,,
dart_RepaymentsOfLongTermBorrowings,유동성장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,5944400000.0,5222400000.0,1500000000.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,2489232000.0,0.0
entity01203808_udf_CF_201932514639708_CashFlowsFromUsedInFinancingActivities,보통주 배당금의 지급,payment of dividends(common stock),현금흐름표 [abstract],재무활동현금흐름,보통주 배당금의 지급,2098323600.0,442306880.0,0.0
entity01203808_udf_CF_2020320105847977_CashFlowsFromUsedInFinancingActivities,상환전환우선주 배당금의 지급,payment of dividends(RCPS),현금흐름표 [abstract],재무활동현금흐름,상환전환우선주 배당금의 지급,376075050.0,,
entity01203808_udf_CF_201881012126980_CashFlowsFromUsedInFinancingActivities,분할등기비용,Split registration fee,현금흐름표 [abstract],재무활동현금흐름,분할등기비용,,0.0,43050000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 상환,3527676254.0,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],환율변동효과 반영전 현금및현금성자산의 순증가(감소),,-4080215899.0,-28039614260.0,54349166376.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,34483470660.0,62725994781.0,9794286751.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,-356937004.0,-202909861.0,-1417458346.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,30046317757.0,34483470660.0,62725994781.0
