"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,Purchase of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 증가,500000000.0,300000000.0,55239200.0
dart_ProceedsFromSalesOfLongTermLoansAndReceivables,장기대여금의 감소,Proceeds from sales of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 감소,,5239200.0,
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,98762300.0,65780029.0,1557784513.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,515239943.0,162422828.0,58400000.0
entity00530556_udf_CF_20171123115919692_CashFlowsFromUsedInInvestingActivities,기타비유동수취채권의증가,Increase in other non-current receivables,현금흐름표 [abstract],투자활동현금흐름,기타비유동수취채권의증가,,4253883862.0,
entity00530556_udf_CF_20171123115922792_CashFlowsFromUsedInInvestingActivities,기타비유동수취채권의감소,Reduction of other non-current receivables,현금흐름표 [abstract],투자활동현금흐름,기타비유동수취채권의감소,,4253883862.0,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,42321669957.0,17239352783.0,26586620080.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,9000000000.0,,1264730193.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,1264730193.0,
ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,유동성장기부채의감소,Repayments of borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의감소,5871630000.0,1628200000.0,2700920000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 감소,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 감소,167773237.0,,
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,557280000.0,,
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,20000000000.0,,29697186760.0
entity00530556_udf_CF_201951481652702_CashFlowsFromUsedInFinancingActivities,전환우선주 증가,conversion priority bar,현금흐름표 [abstract],재무활동현금흐름,전환우선주 증가,4999963530.0,,
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,14856000000.0,19662000000.0,1500000000.0
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 증가,,4860000000.0,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,5988543460.0,2667978900.0
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 처분,,1586813862.0,
entity00530556_udf_CF_2019326135614393_CashFlowsFromUsedInFinancingActivities,주식발행비,Free issue share price,현금흐름표 [abstract],재무활동현금흐름,주식발행비,22073444.0,35744100.0,
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 수취,Proceeds from government grants,현금흐름표 [abstract],재무활동현금흐름,정부보조금의 수취,84463108.0,47756674.0,26085801.0
dart_RepaymentForGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 상환,Repayment for government grants classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,정부보조금의 상환,,,532483774.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,4837345863.0,-13777065064.0,7840616157.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,1920486142.0,15702336066.0,8582586358.0
entity00530556_udf_CF_20171123143631860_StatementOfCashFlowsAbstract,현금및현금성자산의 환율변동효과,Effect of exchange rate changes on cash,현금흐름표 [abstract],현금및현금성자산의 환율변동효과,,15546261.0,-4784860.0,-720866449.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,6773378266.0,1920486142.0,15702336066.0
