"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,288748290.0,4627873696.0,1520056363.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,75664500.0,226316000.0,518874451.0
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,1154793758.0,93494000.0,2052449482.0
entity00530413_udf_CF_20193229363973_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 현금유출,Cash outflows due to changes in the scope of consolidation,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 현금유출,,,979556225.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,44000000.0,10000000.0,5000000.0
entity00530413_udf_CF_2020319181259660_CashFlowsFromUsedInInvestingActivities,장기금융상품의 증가,Increase in long-term financial products,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 증가,,,1390544.0
entity00530413_udf_CF_2020320101152257_CashFlowsFromUsedInInvestingActivities,사업결합에 따른 순현금흐름,Net cash flow,현금흐름표 [abstract],투자활동현금흐름,사업결합에 따른 순현금흐름,6249073368.0,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,6610499683.0,39970674210.0,3657598960.0
entity00530413_udf_CF_20203191705513_CashFlowsFromUsedInFinancingActivities,단기차입금의 차입,Short-term borrowing,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,19121703973.0,,1000000000.0
ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,2999998868.0,10999998767.0,998458121.0
entity00530413_udf_CF_201887145329734_CashFlowsFromUsedInFinancingActivities,종속기업 유상증자,Subsidiary rights offering,현금흐름표 [abstract],재무활동현금흐름,종속기업 유상증자,,,3175168440.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,,
entity00530413_udf_CF_2018812161520737_CashFlowsFromUsedInFinancingActivities,전환사채 발행,Issuance of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채 발행,,29997656520.0,1019602448.0
entity00530413_udf_CF_20171113204719722_CashFlowsFromUsedInFinancingActivities,연결범위변동으로 인한 현금유입,Cash inflows due to changes in the scope of cosolidation,현금흐름표 [abstract],재무활동현금흐름,연결범위변동으로 인한 현금유입,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,14844644985.0,1000000000.0,2490114243.0
entity00530413_udf_CF_2019322941071_CashFlowsFromUsedInFinancingActivities,리스부채의 상환,Repayment of long-term borrowings,현금흐름표 [abstract],재무활동현금흐름,리스부채의 상환,550073380.0,,
entity00530413_udf_CF_202031917816742_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayment of current growth borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,16484793.0,11111104.0,
entity00530413_udf_CF_202031917941652_CashFlowsFromUsedInFinancingActivities,주식발행비용,Stock issuance cost,현금흐름표 [abstract],재무활동현금흐름,주식발행비용,,15869973.0,45515806.0
entity00530413_udf_CF_2020319171144795_CashFlowsFromUsedInFinancingActivities,비지배지분의 취득,Acquisition of non-controlling interests,현금흐름표 [abstract],재무활동현금흐름,비지배지분의 취득,,,
entity00530413_udf_CF_2018814154137879_CashFlowsFromUsedInFinancingActivities,전환사채의 상환,Redemption of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 상환,100000000.0,,
entity00530413_udf_CF_2019591101753_CashFlowsFromUsedInFinancingActivities,지배력획득으로 인한 현금유출,Cash outflow from acquiring control,현금흐름표 [abstract],재무활동현금흐름,지배력획득으로 인한 현금유출,,,
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],환율변동효과 반영전 현금및현금성자산의 순증가(감소),,-11781628325.0,4861978605.0,2487093409.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,18938811581.0,13712136473.0,11284967868.0
entity00530413_udf_CF_201932513321452_StatementOfCashFlowsAbstract,환율효과,Exchange rate effect,현금흐름표 [abstract],환율효과,,34091023.0,364696503.0,-59924804.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,7191274279.0,18938811581.0,13712136473.0
