"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_AdjustmentsForLossesOnDisposalsOfReceivables,매출채권처분손실,Adjustments for losses on disposals of receivables,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,매출채권처분손실,,5087526.0,
dart_AdjustmentsForMiscellaneousLosses,잡손실,Adjustments for miscellaneous losses,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,잡손실,,22440899.0,
entity00625942_udf_CF_2020321193057412_AdjustmentsForReconcileProfitLoss,당기손익-공정가치측정금융자산처분손실,Loss on disposal of financial assets at fair value through profit or loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,당기손익-공정가치측정금융자산처분손실,63258289.0,,
entity00625942_udf_CF_202032119327407_AdjustmentsForReconcileProfitLoss,당기손익-공정가치측정금융자산평가손실,Net Income-Fair Value Measurement Financial Asset Valuation Loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유출이 없는 비용등의 가산,당기손익-공정가치측정금융자산평가손실,15804036.0,,
entity00625942_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,현금의 유입이 없는 수익등의 차감,Adjustments to reconcile loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,,1094365382.0,601840548.0,862050586.0
entity00625942_udf_CF_201911817365926_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,외화환산이익,Adjustments for gain on foreign exchange translations,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,외화환산이익,50006535.0,508090577.0,30374563.0
entity00625942_udf_CF_2019118173711272_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,이자수익,Interest income - other,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,이자수익,141263488.0,59503248.0,110133039.0
entity00625942_udf_CF_2019118173720781_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,유형자산처분이익,Adjustments for gain on disposition of tangible assets,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,유형자산처분이익,802602859.0,4098057.0,16365790.0
entity00625942_udf_CF_2020321195144880_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,재고자산평가손실 환입,Inventory valuation loss reversal,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,재고자산평가손실 환입,,,679661398.0
entity00625942_udf_CF_2019118173732652_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,기타영업외수익,Other non-operating income,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,기타영업외수익,32634423.0,8154225.0,25515796.0
entity00625942_udf_CF_202032119498621_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,잡이익,Miscellaneous profit,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,잡이익,,994441.0,
entity00625942_udf_CF_2019118173744866_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,파생상품거래이익,Gains on transaction of derivative financial instrument,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,파생상품거래이익,16750000.0,21000000.0,
entity00625942_udf_CF_2019118173858407_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,무형자산처분이익,Intangible Assets Gains,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,무형자산처분이익,22699293.0,,
entity00625942_udf_CF_2019118173911703_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,당기손익-공정가치측정금융자산처분이익,Gains or losses on disposal of financial assets at fair value through profit or loss,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,당기손익-공정가치측정금융자산처분이익,20526989.0,,
entity00625942_udf_CF_202032119500496_udf_CF_2019118173642737_CashFlowsFromUsedInOperatingActivities,당기손익-공정가치측정금융자산평가이익,Net Income-Fair Value Measurement Financial Asset Valuation Profit,현금흐름표 [abstract],영업활동으로 인한 현금흐름,현금의 유입이 없는 수익등의 차감,당기손익-공정가치측정금융자산평가이익,7881795.0,,
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,,-3470733979.0,-10905467064.0,-23918323566.0
ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),Adjustments for increase in trade accounts receivable,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,매출채권의 감소(증가),4259987621.0,-596354443.0,-1834050260.0
dart_AdjustmentsForDecreaseincreaseInAdvancePayments,선급금의 감소(증가),Adjustments for increase in advance payments,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,선급금의 감소(증가),47942020.0,4924977788.0,-4476600100.0
dart_AdjustmentsForDecreaseincreaseInPrepaidExpenses,선급비용의 감소(증가),Adjustments for decrease (increase) in prepaid expenses,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,선급비용의 감소(증가),195909905.0,217225418.0,-10470763.0
dart_AdjustmentsForDecreaseincreaseInOtherReceivables,미수금의 감소(증가),Adjustments for increase in other receivables,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,미수금의 감소(증가),-257705213.0,253163678.0,-32907691.0
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),Adjustments for increase in inventories,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,재고자산의 감소(증가),3411263846.0,-11065858585.0,-13176393740.0
ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,매입채무의 감소,Adjustments for increase (decrease) in trade accounts payable,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,매입채무의 감소,-4638097605.0,-3194732454.0,-2287791928.0
