"[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 감소,6400000.0,,-2400000.0
entity00366942_udf_CF_2019111294830123_CashFlowsFromUsedInFinancingActivities,리스부채의 감소,Decrease in Lease Liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 감소,2006321639.0,,
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 증가,,11295000000.0,
entity00366942_udf_CF_2020323133120854_CashFlowsFromUsedInFinancingActivities,종속기업의 자기주식 취득,acquisition of treasury stock by Subsidiary,현금흐름표 [abstract],재무활동현금흐름,종속기업의 자기주식 취득,,3361658226.0,
entity00366942_udf_CF_20191112948323_CashFlowsFromUsedInFinancingActivities,종속기업의 유상증자,Acquisition of increase capital by issuing new stocks,현금흐름표 [abstract],재무활동현금흐름,종속기업의 유상증자,,11009367629.0,13106270104.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,3341637280.0,1740749670.0,1616999538.0
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,,20000000000.0,5952869697.0
ifrs-full_ProceedsFromIssuingShares,주식의 발행,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,주식의 발행,,,2192383914.0
dart_RepaymentsOfBondWithWarrant,신주인수권부사채의 감소,Repayments of bond with warrant,현금흐름표 [abstract],재무활동현금흐름,신주인수권부사채의 감소,,,1000000000.0
dart_ProceedsFromBondWithWarrant,신주인수권부사채의 증가,Proceeds from bond with warrant,현금흐름표 [abstract],재무활동현금흐름,신주인수권부사채의 증가,,15000000000.0,
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,1399759267.0,830572969.0,-1559218485.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,-12854838896.0,47257538767.0,21817502862.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,97817297540.0,50559758773.0,28742255911.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,84962458644.0,97817297540.0,50559758773.0
